id_bv;num_circ;nom_quartier;num_arrond;nb_procu;nb_inscr;nb_abscent;taux_ab;nb_emarg;nb_votant;nb_bl;nb_nul;nb_exprim;NB_ExtGauche;NB_Gauche;NB_Centre;NB_Droite;NB_ExtDroite;NB_Divers
05_01;2;Sorbonne;5;200;1504;340;22,61%;1164;1164;7;1;1156;2;505;460;63;126;0
05_02;2;Sorbonne;5;206;1590;377;23,71%;1214;1213;7;2;1204;2;481;481;98;142;0
05_03;2;Sorbonne;5;221;1697;452;26,64%;1244;1245;9;4;1232;5;526;477;85;139;0
05_04;2;Sorbonne;5;184;1455;344;23,64%;1114;1111;4;3;1104;1;430;438;112;123;0
05_05;2;Val-de-Grâce;5;173;1293;286;22,12%;1006;1007;6;6;995;4;469;388;54;80;0
05_06;2;Val-de-Grâce;5;179;1406;322;22,90%;1084;1084;10;3;1071;9;496;402;71;93;0
05_07;2;Val-de-Grâce;5;177;1531;347;22,66%;1182;1184;5;4;1175;3;491;443;89;149;0
05_08;2;Val-de-Grâce;5;244;1568;316;20,15%;1251;1252;4;3;1245;1;470;582;90;102;0
05_09;2;Val-de-Grâce;5;230;1733;322;18,58%;1411;1411;8;4;1399;1;620;581;82;115;0
05_10;2;Val-de-Grâce;5;202;1543;319;20,67%;1222;1224;14;4;1206;3;502;516;85;100;0
05_11;2;Val-de-Grâce;5;211;1551;309;19,92%;1242;1242;10;1;1231;4;571;473;81;102;0
05_12;2;Val-de-Grâce;5;199;1526;321;21,04%;1203;1205;5;1;1199;5;607;397;82;108;0
05_13;2;Val-de-Grâce;5;200;1504;266;17,69%;1238;1238;10;4;1224;5;545;420;76;178;0
05_14;2;Jardin-des-Plantes;5;206;1590;579;36,42%;1011;1011;8;3;1000;5;481;344;49;121;0
05_15;2;Jardin-des-Plantes;5;221;1697;441;25,99%;1255;1256;11;0;1245;6;629;406;71;133;0
05_16;2;Jardin-des-Plantes;5;184;1455;259;17,80%;1196;1196;3;6;1187;4;635;372;86;90;0
05_17;2;Jardin-des-Plantes;5;173;1293;198;15,31%;1095;1095;8;8;1079;4;552;338;62;123;0
05_18;2;Jardin-des-Plantes;5;179;1406;432;30,73%;974;974;10;8;956;1;496;295;52;112;0
05_19;2;Jardin-des-Plantes;5;177;1531;450;29,39%;1081;1081;13;2;1066;9;494;371;68;124;0
05_20;2;Jardin-des-Plantes;5;244;1568;429;27,36%;1139;1139;4;2;1133;2;555;346;68;162;0
05_21;2;Saint-Victor;5;230;1733;504;29,08%;1229;1229;7;2;1220;5;612;422;76;105;0
05_22;2;Saint-Victor;5;202;1543;469;30,40%;1074;1074;5;5;1064;1;449;437;70;107;0
05_23;2;Saint-Victor;5;211;1551;427;27,53%;1124;1124;11;1;1112;5;463;423;74;147;0
05_24;2;Saint-Victor;5;199;1526;315;20,64%;1211;1211;8;5;1198;6;599;401;66;126;0
05_25;2;Saint-Victor;5;180;1628;377;23,16%;1251;1251;6;2;1243;3;595;460;73;112;0
06_01;2;Odéon;6;153;1318;344;26,10%;974;974;4;4;966;2;313;420;93;138;0
06_02;2;Odéon;6;190;1617;620;38,34%;997;997;6;2;989;3;254;470;129;133;0
06_03;2;Odéon;6;198;1520;506;33,29%;1013;1014;4;3;1007;6;335;473;79;114;0
06_04;2;Monnais;6;184;1435;662;46,13%;773;773;4;0;769;0;197;384;97;91;0
06_05;2;Monnais;6;146;1297;402;30,99%;895;895;5;1;889;4;253;466;86;80;0
06_06;2;Monnais;6;151;1391;589;42,34%;804;802;2;1;799;1;251;396;52;99;0
06_07;2;Odéon;6;112;1501;590;39,31%;910;911;2;4;905;1;328;393;86;97;0
06_08;2;Saint-Germain-des-Prés;6;216;1615;724;44,83%;890;891;4;1;886;6;313;372;77;118;0
06_09;2;Saint-Germain-des-Prés;6;205;1401;614;43,83%;787;787;6;1;780;0;217;399;74;90;0
06_10;2;Odéon;6;185;1458;801;54,94%;657;657;4;1;652;5;189;305;80;73;0
06_11;2;Odéon;6;207;1505;761;50,56%;744;744;1;0;743;0;125;438;68;112;0
06_12;11;Notre-Dame-des-Champs;6;180;1310;327;24,96%;983;983;11;2;970;1;296;432;120;121;0
06_13;11;Notre-Dame-des-Champs;6;75;1383;283;20,46%;1099;1100;11;5;1084;8;526;383;57;110;0
06_14;11;Notre-Dame-des-Champs;6;130;1479;315;21,30%;1164;1164;7;1;1156;4;536;433;60;123;0
06_15;11;Notre-Dame-des-Champs;6;115;1314;390;29,68%;922;924;10;7;907;3;488;230;44;141;1
06_16;11;Notre-Dame-des-Champs;6;145;1597;394;24,67%;1204;1203;12;3;1188;4;624;345;56;157;2
06_17;11;Notre-Dame-des-Champs;6;128;1230;264;21,46%;966;966;5;4;957;7;509;295;54;91;1
06_18;11;Notre-Dame-des-Champs;6;142;1480;360;24,32%;1120;1120;11;8;1101;13;581;304;69;133;1
06_19;11;Notre-Dame-des-Champs;6;140;1351;263;19,47%;1088;1088;10;2;1076;9;512;382;61;112;0
06_20;11;Notre-Dame-des-Champs;6;169;1462;334;22,85%;1128;1128;6;3;1119;6;560;332;73;148;0
06_21;11;Notre-Dame-des-Champs;6;214;1514;286;18,89%;1227;1228;12;3;1213;1;563;468;83;97;1
06_22;11;Notre-Dame-des-Champs;6;202;1536;344;22,40%;1192;1192;6;2;1184;8;589;397;80;106;4
07_01;2;Invalides;7;218;1617;581;35,93%;1036;1036;6;6;1024;3;174;553;125;169;0
07_02;2;Invalides;7;175;1281;303;23,65%;978;978;11;4;963;3;174;508;125;153;0
07_03;2;Invalides;7;178;1308;226;17,28%;1081;1082;4;6;1072;0;221;597;114;140;0
07_04;2;Saint-Thomas-d'Aquin;7;184;1373;427;31,10%;944;946;3;3;940;1;215;489;85;150;0
07_05;2;Saint-Thomas-d'Aquin;7;131;1029;-1;-0,10%;1030;1030;5;3;1022;1;172;606;127;116;0
07_06;2;Invalides;7;165;1112;55;4,95%;1057;1057;1;0;1056;0;230;571;143;112;0
07_07;2;Saint-Thomas-d'Aquin;7;134;1088;-112;-10,29%;1200;1200;6;4;1190;5;222;638;165;160;0
07_08;2;Saint-Thomas-d'Aquin;7;167;1229;123;10,01%;1106;1106;8;6;1092;6;198;592;129;167;0
07_09;12;École-Militaire;7;190;1249;273;21,86%;976;976;11;5;960;3;216;449;142;150;0
07_10;12;École-Militaire;7;179;1577;425;26,95%;1152;1152;5;3;1144;1;266;489;138;250;0
07_11;12;École-Militaire;7;147;1215;263;21,65%;952;952;7;4;941;1;120;455;182;183;0
07_12;12;École-Militaire;7;172;1267;301;23,76%;966;966;3;6;957;1;152;486;165;153;0
07_13;12;École-Militaire;7;156;1220;234;19,18%;986;986;7;3;976;2;139;456;191;188;0
07_14;12;École-Militaire;7;180;1388;333;23,99%;1055;1055;8;5;1042;1;218;494;144;185;0
07_15;2;Gros-Caillou;7;149;1219;81;6,64%;1137;1138;6;3;1129;3;232;609;128;157;0
07_16;2;Gros-Caillou;7;121;1043;46;4,41%;997;997;6;7;984;6;232;481;109;156;0
07_17;2;Gros-Caillou;7;123;908;-143;-15,75%;1051;1051;7;3;1041;4;252;506;89;190;0
07_18;2;Gros-Caillou;7;143;989;72;7,28%;917;917;8;0;909;1;194;418;116;180;0
07_19;2;Gros-Caillou;7;179;1376;420;30,52%;955;956;8;3;945;3;172;486;135;149;0
07_20;2;Gros-Caillou;7;159;1320;186;14,09%;1133;1134;6;1;1127;3;195;595;142;192;0
07_21;2;Gros-Caillou;7;188;1425;448;31,44%;977;977;7;2;968;2;169;512;119;166;0
07_22;2;Gros-Caillou;7;168;1293;415;32,10%;877;878;3;0;875;2;115;477;103;178;0
07_23;2;Gros-Caillou;7;185;1359;533;39,22%;826;826;2;3;821;0;83;468;129;141;0
07_24;2;Gros-Caillou;7;267;1385;452;32,64%;932;933;3;1;929;1;119;531;134;144;0
07_25;2;Gros-Caillou;7;211;1545;1545;100,00%;;;;;;;;;;;
08_01;1;Europe;8;223;1573;377;23,97%;1190;1196;6;3;1187;4;178;590;197;124;2
08_02;1;Europe;8;164;1394;367;26,33%;1025;1027;6;3;1018;0;162;515;174;103;2
08_03;1;Europe;8;204;1439;299;20,78%;1144;1140;8;1;1131;4;181;557;223;146;1
08_04;1;Europe;8;195;1427;354;24,81%;1072;1073;6;1;1066;0;120;570;210;104;0
08_05;1;Europe;8;211;1660;379;22,83%;1279;1281;8;3;1270;2;225;670;209;113;1
08_06;1;Europe;8;164;1438;295;20,51%;1143;1143;6;0;1137;4;304;515;153;96;1
08_07;1;Europe;8;192;1552;336;21,65%;1216;1216;13;2;1201;3;326;573;159;98;3
08_08;1;Europe;8;177;1490;310;20,81%;1179;1180;10;2;1168;6;362;510;147;95;2
08_09;1;Europe;8;183;1694;400;23,61%;1294;1294;7;4;1283;3;255;629;198;117;0
08_10;1;Madeleine;8;114;1083;325;30,01%;757;758;3;1;754;1;132;373;120;75;1
08_11;1;Madeleine;8;147;1139;291;25,55%;843;848;10;3;835;4;196;377;142;97;0
08_12;1;Madeleine;8;131;1323;414;31,29%;909;909;8;4;897;2;156;383;150;82;0
08_13;1;Faubourg-du-Roule;8;152;1498;461;30,77%;1039;1037;8;4;1025;4;171;532;148;90;4
08_14;1;Faubourg-du-Roule;8;152;1526;455;29,82%;1071;1071;6;0;1065;2;206;485;169;87;0
08_15;1;Faubourg-du-Roule;8;171;1585;443;27,95%;1141;1142;5;3;1134;4;151;581;190;112;2
08_16;1;Faubourg-du-Roule;8;164;1662;478;28,76%;1184;1184;11;2;1171;2;170;579;206;122;0
08_17;1;Champs-Élysées;8;59;900;358;39,78%;542;542;1;1;540;1;94;241;84;43;0
08_18;1;Champs-Élysées;8;82;921;326;35,40%;595;595;4;3;588;0;90;256;103;56;1
09_01;1;Faubourg-Montmartre;9;150;1322;354;26,78%;968;968;11;2;955;6;361;411;75;37;1
09_02;1;Faubourg-Montmartre;9;202;1491;341;22,87%;1150;1150;11;4;1135;5;527;455;58;44;1
09_03;1;Faubourg-Montmartre;9;184;1509;379;25,12%;1130;1130;10;2;1118;2;444;480;79;50;1
09_04;1;Faubourg-Montmartre;9;163;1482;339;22,87%;1143;1143;6;4;1133;6;454;484;80;61;1
09_05;1;Faubourg-Montmartre;9;213;1493;315;21,10%;1178;1178;12;7;1159;4;443;533;90;55;0
09_06;1;Faubourg-Montmartre;9;176;1422;336;23,63%;1086;1086;6;1;1079;6;355;519;89;46;2
09_07;1;Chaussée-d'Antin;9;146;1432;400;27,93%;1032;1032;6;3;1023;3;308;470;101;63;1
09_08;1;Saint-Georges;9;216;1561;318;20,37%;1243;1243;11;3;1229;2;373;638;115;73;3
09_09;1;Saint-Georges;9;156;1363;297;21,79%;1065;1066;12;0;1054;4;331;534;92;63;0
09_10;1;Saint-Georges;9;215;1526;304;19,92%;1222;1222;12;1;1209;2;403;592;106;74;1
09_11;1;Saint-Georges;9;193;1495;311;20,80%;1183;1184;11;9;1164;5;467;533;74;48;1
09_12;1;Saint-Georges;9;198;1457;309;21,21%;1148;1148;20;5;1123;5;469;481;83;53;0
09_13;1;Saint-Georges;9;202;1576;385;24,43%;1191;1191;5;4;1182;3;535;472;64;38;4
09_14;1;Saint-Georges;9;230;1636;362;22,13%;1274;1274;13;1;1260;5;452;616;93;60;1
09_15;1;Saint-Georges;9;215;1468;317;21,59%;1151;1151;9;2;1140;7;415;528;98;49;2
09_16;1;Saint-Georges;9;173;1405;281;20,00%;1123;1124;13;3;1108;2;396;514;105;59;0
09_17;1;Saint-Georges;9;189;1435;321;22,37%;1114;1114;9;4;1101;4;369;515;97;54;0
09_18;1;Rochechouart;9;168;1544;353;22,86%;1191;1191;7;5;1179;11;475;502;80;52;5
09_19;1;Rochechouart;9;202;1498;366;24,43%;1132;1132;11;6;1115;2;452;484;71;45;2
09_20;1;Rochechouart;9;204;1491;306;20,52%;1185;1185;5;2;1178;2;442;531;90;62;0
09_21;1;Rochechouart;9;202;1550;322;20,77%;1228;1228;5;5;1218;5;471;540;73;72;2
09_22;1;Rochechouart;9;204;1406;286;20,34%;1120;1120;9;1;1110;5;429;494;99;62;0
09_23;1;Rochechouart;9;209;1397;334;23,91%;1063;1063;11;2;1050;3;408;462;97;61;0
09_24;18;Rochechouart;9;191;1492;333;22,32%;1157;1159;18;5;1136;3;432;523;67;109;2
09_25;18;Rochechouart;9;240;1639;394;24,04%;1244;1245;12;5;1228;1;552;466;92;117;0
09_26;18;Rochechouart;9;214;1545;342;22,14%;1203;1203;6;1;1196;3;495;529;66;102;1
09_27;18;Rochechouart;9;218;1644;398;24,21%;1246;1246;7;3;1236;5;646;418;57;105;5
10_01;5;Porte-Saint-Martin;10;220;1648;392;23,79%;1255;1256;15;7;1234;1;744;363;41;85;0
10_02;5;Porte-Saint-Martin;10;221;1597;370;23,17%;1227;1227;8;7;1212;1;724;369;37;81;0
10_03;5;Porte-Saint-Martin;10;184;1585;357;22,52%;1228;1228;10;1;1217;3;724;344;53;93;0
10_04;5;Porte-Saint-Martin;10;141;1396;353;25,29%;1043;1043;5;7;1031;2;611;325;38;55;0
10_05;5;Porte-Saint-Martin;10;168;1385;322;23,25%;1062;1063;9;3;1051;5;567;363;32;84;0
10_06;5;Porte-Saint-Martin;10;233;1479;346;23,39%;1133;1133;13;4;1116;3;639;351;45;78;0
10_07;5;Porte-Saint-Martin;10;165;1318;332;25,19%;985;986;4;4;978;3;617;277;28;53;0
10_08;5;Porte-Saint-Martin;10;204;1620;391;24,14%;1230;1229;6;4;1219;5;717;348;48;101;0
10_09;5;Porte-Saint-Martin;10;202;1633;384;23,52%;1249;1249;13;4;1232;9;608;384;72;159;0
10_10;5;Porte-Saint-Martin;10;209;1515;327;21,58%;1188;1188;4;4;1180;16;704;337;40;83;0
10_11;5;Hôpital-Saint-Louis;10;188;1601;416;25,98%;1185;1185;11;5;1169;6;743;303;35;82;0
10_12;5;Hôpital-Saint-Louis;10;188;1626;434;26,69%;1190;1192;10;1;1181;4;845;251;19;62;0
10_13;5;Hôpital-Saint-Louis;10;150;1682;507;30,14%;1175;1175;7;1;1167;11;830;219;26;81;0
10_14;5;Hôpital-Saint-Louis;10;180;1690;447;26,45%;1243;1243;5;10;1228;8;866;256;26;72;0
10_15;5;Hôpital-Saint-Louis;10;167;1455;384;26,39%;1071;1071;6;3;1062;10;658;271;32;91;0
10_16;5;Hôpital-Saint-Louis;10;185;1444;364;25,21%;1079;1080;8;2;1070;6;700;257;27;80;0
10_17;5;Hôpital-Saint-Louis;10;85;1335;440;32,96%;895;895;11;4;880;8;432;230;53;157;0
10_18;5;Hôpital-Saint-Louis;10;123;1424;468;32,87%;956;956;4;5;947;3;561;265;36;82;0
10_19;5;Hôpital-Saint-Louis;10;117;1310;410;31,30%;900;900;12;4;884;12;498;242;32;100;0
10_20;5;Hôpital-Saint-Louis;10;160;1296;326;25,15%;970;970;9;2;959;6;626;232;39;56;0
10_21;5;Hôpital-Saint-Louis;10;152;1423;410;28,81%;1013;1013;9;5;999;8;630;232;44;85;0
10_22;5;Hôpital-Saint-Louis;10;184;1484;294;19,81%;1190;1190;6;1;1183;4;739;311;40;89;0
10_23;5;Hôpital-Saint-Louis;10;147;1297;306;23,59%;990;991;4;4;983;7;630;263;29;54;0
10_24;5;Saint-Vincent-de-Paul;10;153;1300;311;23,92%;989;989;5;0;984;3;601;260;46;74;0
10_25;5;Saint-Vincent-de-Paul;10;143;1349;344;25,50%;1005;1005;11;4;990;8;646;202;35;99;0
10_26;5;Saint-Vincent-de-Paul;10;172;1268;283;22,32%;985;985;8;4;973;5;610;237;30;91;0
10_27;5;Saint-Vincent-de-Paul;10;167;1499;429;28,62%;1066;1070;10;5;1055;6;702;241;37;69;0
10_28;5;Saint-Vincent-de-Paul;10;159;1376;325;23,62%;1051;1051;3;2;1046;4;600;283;59;100;0
10_29;5;Saint-Vincent-de-Paul;10;179;1491;335;22,47%;1156;1156;4;2;1150;4;571;435;58;82;0
10_30;5;Saint-Vincent-de-Paul;10;184;1473;348;23,63%;1125;1125;10;5;1110;6;617;347;60;80;0
10_31;5;Saint-Vincent-de-Paul;10;151;1230;293;23,82%;937;937;4;1;932;2;428;392;42;68;0
10_32;5;Saint-Vincent-de-Paul;10;160;1323;325;24,57%;998;998;10;4;984;6;639;257;25;57;0
10_33;5;Porte-Saint-Denis;10;193;1491;406;27,23%;1085;1085;7;3;1075;7;634;327;39;68;0
10_34;5;Porte-Saint-Denis;10;179;1512;369;24,40%;1143;1143;8;9;1126;5;533;391;48;149;0
10_35;5;Porte-Saint-Denis;10;166;1386;329;23,74%;1056;1057;5;10;1042;1;542;374;48;76;0
10_36;5;Porte-Saint-Denis;10;376;1437;275;19,14%;1162;1162;6;9;1147;3;671;357;56;60;0
10_37;5;Porte-Saint-Denis;10;145;1315;303;23,04%;1012;1012;8;3;1001;2;521;348;49;81;0
10_38;5;Porte-Saint-Denis;10;215;1625;341;20,98%;1284;1284;6;3;1275;4;684;472;38;77;0
10_39;5;Porte-Saint-Denis;10;219;1687;443;26,26%;1244;1244;8;9;1227;6;718;363;54;86;0
11_01;7;Roquette;11;228;1773;392;22,11%;1381;1381;9;2;1370;6;811;392;52;109;0
11_02;7;Roquette;11;252;1682;339;20,15%;1343;1343;6;7;1330;3;770;419;51;87;0
11_03;7;Roquette;11;195;1654;407;24,61%;1247;1247;4;6;1237;2;739;342;44;110;0
11_04;7;Roquette;11;0;1911;424;22,19%;1486;1487;3;4;1480;2;851;476;62;89;0
11_05;7;Roquette;11;213;1694;363;21,43%;1331;1331;9;4;1318;8;756;403;52;99;0
11_06;7;Sainte-Marguerite;11;259;1773;410;23,12%;1363;1363;4;3;1356;5;824;402;42;83;0
11_07;7;Sainte-Marguerite;11;239;1862;403;21,64%;1459;1459;13;6;1440;16;777;468;65;114;0
11_08;7;Sainte-Marguerite;11;220;1712;368;21,50%;1344;1344;6;1;1337;9;639;510;64;115;0
11_09;7;Roquette;11;217;1723;409;23,74%;1314;1314;8;2;1304;3;788;353;58;102;0
11_10;7;Roquette;11;162;1587;356;22,43%;1231;1231;8;10;1213;7;638;409;64;95;0
11_11;7;Roquette;11;185;1568;352;22,45%;1215;1216;8;5;1203;9;740;304;44;106;0
11_12;7;Roquette;11;111;1259;364;28,91%;895;895;8;5;882;7;372;283;69;151;0
11_13;7;Roquette;11;157;1160;287;24,74%;873;873;10;4;859;3;364;343;56;93;0
11_14;7;Roquette;11;185;1433;365;25,47%;1068;1068;6;3;1059;6;479;421;52;101;0
11_15;7;Roquette;11;145;1341;339;25,28%;1001;1002;11;3;988;7;481;325;67;108;0
11_16;7;Saint-Ambroise;11;213;1467;321;21,88%;1146;1146;6;2;1138;0;431;501;89;117;0
11_17;7;Saint-Ambroise;11;135;1064;256;24,06%;808;808;5;1;802;12;339;323;51;77;0
11_18;7;Saint-Ambroise;11;142;1240;274;22,10%;966;966;10;2;954;4;393;410;51;96;0
11_19;7;Saint-Ambroise;11;157;1262;332;26,31%;929;930;7;1;922;1;387;413;54;67;0
11_20;7;Folie-Méricourt;11;194;1673;391;23,37%;1281;1282;6;3;1273;8;510;560;83;112;0
11_21;7;Folie-Méricourt;11;153;1323;295;22,30%;1028;1028;6;1;1021;5;341;465;71;139;0
11_22;7;Folie-Méricourt;11;169;1737;459;26,42%;1278;1278;7;3;1268;1;549;428;105;185;0
11_23;7;Folie-Méricourt;11;144;1131;274;24,23%;857;857;6;1;850;5;276;377;83;109;0
11_24;7;Saint-Ambroise;11;131;986;245;24,85%;742;741;5;2;734;3;221;346;75;89;0
11_25;7;Saint-Ambroise;11;187;1651;428;25,92%;1223;1223;14;5;1204;2;580;418;65;139;0
11_26;7;Saint-Ambroise;11;142;1592;465;29,21%;1127;1127;11;4;1112;10;578;359;45;120;0
11_27;6;Folie-Méricourt;11;263;1744;314;18,00%;1428;1430;17;6;1407;15;784;423;47;90;0
11_28;6;Folie-Méricourt;11;215;1723;435;25,25%;1288;1288;12;4;1272;6;774;353;51;57;0
11_29;6;Folie-Méricourt;11;254;1892;453;23,94%;1439;1439;14;6;1419;7;890;339;49;103;0
11_30;6;Folie-Méricourt;11;233;1844;492;26,68%;1349;1352;11;8;1333;6;837;322;34;96;0
11_31;6;Folie-Méricourt;11;150;1944;635;32,66%;1309;1309;10;5;1294;15;906;222;34;95;0
11_32;6;Folie-Méricourt;11;220;1942;578;29,76%;1364;1364;13;3;1348;13;920;255;39;92;0
11_33;6;Saint-Ambroise;11;211;1922;465;24,19%;1456;1457;14;3;1440;13;825;402;59;111;0
11_34;6;Saint-Ambroise;11;197;1826;555;30,39%;1271;1271;12;7;1252;15;768;298;39;106;0
11_35;6;Saint-Ambroise;11;230;1697;401;23,63%;1294;1296;8;8;1280;8;663;419;57;111;0
11_36;6;Saint-Ambroise;11;236;1715;391;22,80%;1324;1324;13;4;1307;7;733;405;48;93;0
11_37;6;Saint-Ambroise;11;219;1586;365;23,01%;1221;1221;12;9;1200;11;613;395;72;85;0
11_38;6;Saint-Ambroise;11;199;1798;405;22,53%;1393;1393;14;4;1375;9;692;456;61;127;0
11_39;6;Roquette;11;175;1480;379;25,61%;1101;1101;13;9;1079;7;637;255;56;87;0
11_40;6;Roquette;11;141;1509;430;28,50%;1079;1079;22;6;1051;9;548;295;52;129;0
11_41;6;Roquette;11;161;1790;514;28,72%;1275;1276;13;10;1253;4;728;275;57;156;0
11_42;6;Roquette;11;160;1534;467;30,44%;1066;1067;14;4;1049;13;568;258;53;128;0
11_43;6;Roquette;11;171;1785;466;26,11%;1319;1319;17;8;1294;10;754;336;64;109;0
11_44;6;Sainte-Marguerite;11;221;1779;448;25,18%;1331;1331;12;6;1313;13;643;454;70;110;0
11_45;6;Sainte-Marguerite;11;177;1601;355;22,17%;1246;1246;13;9;1224;1;521;462;78;131;0
11_46;6;Sainte-Marguerite;11;131;1869;614;32,85%;1254;1255;15;7;1233;12;713;301;45;145;0
11_47;6;Sainte-Marguerite;11;154;1800;516;28,67%;1284;1284;16;6;1262;13;673;342;64;144;0
11_48;6;Sainte-Marguerite;11;201;1763;383;21,72%;1380;1380;12;3;1365;6;590;516;99;120;0
11_49;6;Sainte-Marguerite;11;198;1784;426;23,88%;1356;1358;9;14;1335;16;685;396;64;142;0
11_50;6;Sainte-Marguerite;11;222;1775;397;22,37%;1378;1378;13;12;1353;7;723;413;68;107;0
11_51;6;Sainte-Marguerite;11;202;1750;412;23,54%;1338;1338;12;10;1316;8;646;418;83;130;0
11_52;6;Sainte-Marguerite;11;212;1803;384;21,30%;1418;1419;13;2;1404;11;757;467;59;96;0
11_53;6;Sainte-Marguerite;11;255;1797;355;19,76%;1441;1442;23;6;1413;5;685;498;88;116;0
11_54;6;Sainte-Marguerite;11;138;1636;431;26,34%;1205;1205;10;6;1189;8;618;363;67;108;0
11_55;6;Sainte-Marguerite;11;162;1751;408;23,30%;1343;1343;15;8;1320;6;690;430;39;127;0
12_01;8;Picpus;12;128;1103;269;24,39%;834;834;8;3;823;3;447;254;43;76;0
12_02;8;Picpus;12;129;1310;337;25,73%;973;973;10;3;960;8;504;289;55;102;2
12_03;8;Picpus;12;164;1598;397;24,84%;1201;1201;13;3;1185;1;554;401;73;155;1
12_04;8;Picpus;12;149;1479;418;28,26%;1061;1061;11;4;1046;9;475;370;64;128;0
12_05;8;Picpus;12;143;1494;375;25,10%;1116;1119;10;3;1106;7;453;433;78;135;0
12_06;8;Picpus;12;118;1448;411;28,38%;1037;1037;8;4;1025;11;520;288;69;137;0
12_07;8;Picpus;12;178;1496;309;20,66%;1187;1187;7;7;1173;6;492;448;89;138;0
12_08;8;Picpus;12;126;1464;419;28,62%;1045;1045;7;3;1035;8;572;275;46;132;2
12_09;8;Picpus;12;78;1627;508;31,22%;1119;1119;19;4;1096;19;620;253;61;143;0
12_10;8;Picpus;12;161;1553;430;27,69%;1123;1123;4;8;1111;6;604;313;58;129;1
12_11;8;Picpus;12;143;1298;347;26,73%;951;951;8;7;936;4;471;260;47;154;0
12_12;8;Picpus;12;238;1957;426;21,77%;1531;1531;5;5;1521;4;835;449;69;164;0
12_13;8;Picpus;12;175;1482;310;20,92%;1172;1172;10;3;1159;9;620;367;62;100;1
12_14;8;Picpus;12;120;1397;364;26,06%;1033;1033;11;4;1018;7;441;361;58;150;1
12_15;8;Picpus;12;157;1629;455;27,93%;1174;1174;5;4;1165;10;627;348;43;137;0
12_16;8;Picpus;12;161;1362;303;22,25%;1059;1059;10;5;1044;3;472;368;68;133;0
12_17;8;Picpus;12;134;1319;297;22,52%;1022;1022;9;4;1009;4;440;377;62;126;0
12_18;8;Picpus;12;177;1440;296;20,56%;1144;1144;9;2;1133;4;605;346;77;101;0
12_19;8;Picpus;12;139;1498;436;29,11%;1063;1062;11;6;1045;9;561;305;46;124;0
12_20;8;Picpus;12;147;1360;316;23,24%;1044;1044;8;3;1033;8;511;337;60;116;1
12_21;8;Picpus;12;145;1633;386;23,64%;1247;1247;11;4;1232;7;574;447;55;149;0
12_22;8;Picpus;12;107;1598;485;30,35%;1113;1113;16;3;1094;10;630;272;49;133;0
12_23;8;Picpus;12;110;1317;391;29,69%;926;926;10;3;913;9;448;324;44;88;0
12_24;8;Picpus;12;147;1420;373;26,27%;1045;1047;9;2;1036;1;577;283;58;116;1
12_25;8;Picpus;12;120;1590;415;26,10%;1175;1175;12;7;1156;11;572;363;55;154;1
12_26;8;Picpus;12;117;1426;373;26,16%;1053;1053;6;5;1042;5;483;354;50;150;0
12_27;8;Picpus;12;141;1429;367;25,68%;1062;1062;8;0;1054;13;557;331;57;96;0
12_28;8;Picpus;12;120;1539;488;31,71%;1051;1051;15;10;1026;14;504;277;61;170;0
12_29;8;Picpus;12;103;1186;356;30,02%;830;830;10;7;813;4;385;272;37;115;0
12_30;8;Bel-Air;12;162;1439;343;23,84%;1096;1096;11;2;1083;5;467;402;74;135;0
12_31;8;Bel-Air;12;119;1422;355;24,96%;1067;1067;7;3;1057;5;525;346;64;117;0
12_32;8;Bel-Air;12;123;1446;337;23,31%;1109;1109;11;6;1092;5;495;398;71;123;0
12_33;8;Bel-Air;12;114;1525;402;26,36%;1123;1123;13;5;1105;15;538;352;54;144;2
12_34;8;Bel-Air;12;133;1540;344;22,34%;1196;1196;11;6;1179;4;519;429;60;167;0
12_35;8;Bel-Air;12;177;1452;296;20,39%;1156;1156;11;1;1144;4;459;456;87;138;0
12_36;8;Bel-Air;12;81;1410;417;29,57%;993;993;11;6;976;9;470;266;60;170;1
12_37;8;Bel-Air;12;94;1395;421;30,18%;974;974;10;3;961;10;515;247;48;141;0
12_38;8;Bel-Air;12;132;1584;406;25,63%;1178;1178;13;6;1159;11;572;359;54;163;0
12_39;8;Bel-Air;12;111;1231;314;25,51%;917;917;6;5;906;7;418;290;50;141;0
12_40;8;Bel-Air;12;133;1345;308;22,90%;1037;1037;7;5;1025;5;512;315;55;138;0
12_41;8;Bel-Air;12;170;1348;309;22,92%;1039;1039;7;4;1028;6;458;373;71;120;0
12_42;8;Bel-Air;12;137;1616;409;25,31%;1207;1207;4;3;1200;13;591;365;65;166;0
12_43;8;Bel-Air;12;55;940;301;32,02%;639;639;21;3;615;8;272;178;18;137;2
12_44;8;Bel-Air;12;97;1396;415;29,73%;981;981;11;10;960;11;506;275;31;136;1
12_45;8;Bel-Air;12;71;1356;464;34,22%;892;892;14;4;874;10;523;185;33;123;0
12_46;8;Bercy;12;136;1521;430;28,27%;1091;1091;12;6;1073;12;540;317;64;140;0
12_47;8;Bercy;12;98;1501;455;30,31%;1046;1046;24;6;1016;13;536;273;45;149;0
12_48;8;Bercy;12;109;1532;465;30,35%;1067;1067;14;6;1047;8;570;271;51;147;0
12_49;8;Picpus;12;157;1637;417;25,47%;1220;1220;10;1;1209;8;639;369;63;130;0
