id_bv;num_circ;nom_quartier;num_arrond;nb_procu;nb_inscr;nb_abscent;taux_ab;nb_emarg;nb_votant;nb_bl;nb_nul;nb_exprim;NB_ExtGauche;NB_Gauche;NB_Centre;NB_Droite;NB_ExtDroite;NB_Divers
01_01;1;Saint-Germain-l'Auxerrois;1;129;1080;299;27,69%;781;781;7;1;773;3;279;324;70;45;1
01_02;1;Saint-Germain-l'Auxerrois;1;137;1211;307;25,35%;904;904;5;4;895;0;312;414;73;30;5
01_03;1;Saint-Germain-l'Auxerrois;1;140;1211;337;27,83%;874;874;3;5;866;8;315;346;65;46;2
01_04;1;Halles;1;133;1295;383;29,58%;912;912;7;5;900;18;416;315;45;26;0
01_05;1;Halles;1;145;1077;254;23,58%;823;823;3;2;818;1;320;356;56;40;3
01_06;1;Halles;1;147;1267;345;27,23%;921;922;14;2;906;5;334;364;63;42;5
01_07;1;Palais-Royal;1;131;1109;287;25,88%;822;822;11;5;806;2;257;376;75;42;0
01_08;1;Palais-Royal;1;97;973;285;29,29%;688;688;12;4;672;2;171;311;86;49;3
01_09;1;Place-Vendôme;1;99;934;262;28,05%;672;672;3;5;664;3;145;327;77;46;1
01_10;1;Place-Vendôme;1;98;895;237;26,48%;660;658;5;2;651;1;142;353;71;41;2
02_11;1;Vivienne;2;120;1084;294;27,12%;790;790;3;1;786;1;250;356;84;46;2
02_12;1;Vivienne;2;121;1049;224;21,35%;822;825;4;2;819;5;293;373;60;50;1
02_13;1;Vivienne;2;91;883;257;29,11%;626;626;2;2;622;2;187;291;59;36;3
02_14;1;Mail;2;207;1553;408;26,27%;1145;1145;7;1;1137;5;481;453;77;44;1
02_15;1;Mail;2;169;1456;357;24,52%;1097;1099;13;1;1085;3;424;497;68;38;1
02_16;1;Mail;2;181;1471;342;23,25%;1129;1129;4;1;1124;3;390;546;88;50;1
02_17;1;Bonne-Nouvelle;2;159;1530;382;24,97%;1148;1148;10;3;1135;8;459;498;68;50;2
02_18;1;Bonne-Nouvelle;2;233;1782;502;28,17%;1279;1280;7;5;1268;6;583;520;62;45;1
02_19;1;Bonne-Nouvelle;2;227;1792;501;27,96%;1291;1291;13;4;1274;5;606;489;68;33;4
