id_bv;Niveau de pauvreté;Niveau de participation;Cluster
01_01;-2.713252643640236;0.0030221914172716387;0
01_02;-1.9101883188409232;1.4313638237389;1
01_03;-0.942895161975813;1.1698147633786773;1
01_04;0.3567786357421389;0.2588025924088866;1
01_05;-0.8928987732872635;1.5708770425541865;1
01_06;-1.4514415228976159;0.37050966016645515;1
01_07;-2.4088602393119207;0.9696761713685564;0
01_08;-2.9058868823170365;-0.3650659698025253;0
01_09;-3.96250697771084;0.15639957126883208;0
01_10;-3.8788382603793288;0.5368962698708856;0
02_11;-1.709970447125086;0.5587330583023089;1
02_12;-1.9490152311855728;1.5359737538171612;1
02_13;-2.9537998655281545;0.4529441317165012;0
02_14;-0.4671679573428233;1.1952843452962985;1
02_15;-0.7804277579693679;1.562353839509931;1
02_16;-1.402885840761437;2.4428929962515706;1
02_17;-0.7031818910960628;2.1006778165432736;1
02_18;1.137192241781987;2.8267528822083134;1
02_19;1.5140675142019986;2.8505857279032973;1
02_20;0.3441180605139233;3.223876513827115;1
03_21;-0.7331708760382645;2.5217131264903783;1
03_22;0.7894202090814959;2.596400107587266;1
03_23;-0.6899273318195233;2.96754829831338;1
03_24;-0.799282408720319;2.6836522856089573;1
03_25;-1.4355857834807058;2.205995624344654;1
03_26;-1.6826649134886553;2.817034481564475;1
03_27;-2.6440586683252194;1.8410869095338416;0
03_28;-2.989433984986602;2.1483374517357543;0
03_29;0.41884019287862473;0.9274916790491023;1
03_30;0.5086769896771594;1.9336537099737248;1
03_31;-1.192915802901379;2.204356684139649;1
03_32;1.0482249353732986;1.906001563684994;1
03_33;1.3603409840336051;2.305238502406242;1
03_34;0.3177597308858836;3.202374246130369;1
03_35;-0.4482470052865503;1.8211005759839962;1
04_36;-1.184250277818572;-1.057577183585188;0
04_37;-1.536935753657614;1.86936576051683;1
04_38;-0.8242510221195337;1.9373326750859647;1
04_39;0.13651584127959104;0.7713608271557622;1
04_40;-2.235773123530577;2.565316456139181;1
04_41;-1.4789872768605858;2.1382022862401406;1
04_42;-2.117966729534318;1.0321200117363827;0
04_43;-1.145726170815815;-0.34779569742188854;1
04_44;-3.1316851472514986;1.222599505215748;0
04_45;-3.7575810779572776;0.933205155389411;0
04_46;-1.9018229018324366;1.096339483161654;1
04_47;-1.3147268452434673;1.5655910319075663;1
04_48;0.2919698069640281;0.6614435964803882;1
04_49;-1.0457413175060035;2.2381715746777133;1
05_01;-0.7009642519900476;1.6501549326819316;1
05_02;-1.9207205892997419;0.8616746732868026;1
05_03;-1.2079563750778106;1.3571097411465463;1
05_04;-2.124159986459156;1.0062373819832264;0
05_05;-1.1650395511638534;2.224253714995963;1
05_06;-1.1335151225756057;1.6959102742065668;1
05_07;-1.9443925276502723;0.9888023864191378;1
05_08;-2.6503347375624866;2.71043763191874;1
05_09;-1.1173292026623802;2.356541079465866;1
05_10;-0.905358851233129;2.0023051375279954;1
05_11;-0.42532921821563513;3.185346791606751;1
05_12;-0.04935872062914225;2.7301821323485065;1
05_13;-0.7593528336083674;1.1115121615021646;1
05_14;-0.9441100059354401;1.8523676276686942;1
05_15;-0.287675052609784;1.976154711672324;1
05_16;-0.10962939661819567;2.445629077782837;1
05_17;-0.2913581250048587;1.8709070862098496;1
05_18;-0.17665296005724265;0.39470275328593607;1
05_19;-0.5188350241854954;1.147044885161583;1
05_20;-0.022101655589901747;0.1971979270973163;1
05_21;0.11767065880522085;1.9507818281147766;1
05_22;-2.146376536938391;1.6447868816000684;1
05_23;-1.3848506230439863;1.1262453194777113;1
05_24;0.07472551496925713;2.3040673579728876;1
05_25;-0.9923864757197117;2.2558745685190176;1
06_01;-3.0413865168580214;0.7775527239554967;0
06_02;-4.786523346359968;0.7175333716770279;0
06_03;-2.6876168875893662;1.6114846410428696;0
06_04;-2.730551935799491;1.088146402384737;0
06_05;-2.2995343351809265;1.8042380805754943;1
06_06;-2.318532165422901;1.1727632772816257;0
06_07;-3.493833214060795;0.8867057616477425;0
06_08;-3.4586618768435304;0.8356493044288851;0
06_09;-3.470004994436994;0.6175291139688124;0
06_10;-3.747647333515179;1.8223473317563794;0
06_11;-3.402270176283594;0.5508566913725302;0
06_12;-4.162273986373775;0.7368286859482575;0
06_13;-4.130468627906118;0.95355079198631;0
06_14;-3.0163394608645717;0.7407651262740396;0
06_15;-3.6671966551338984;1.2660700206401108;0
06_16;-3.2413009189358823;1.3446634661052081;0
06_17;-3.2534086536893865;1.3224742914955916;0
06_18;-3.626112473725672;0.998738078143149;0
06_19;-3.9758253078287504;1.3534470285433897;0
06_20;-3.5661232387495594;0.6826869114699342;0
06_21;-2.978853821500344;1.4785113070101608;0
06_22;-3.9530471102214624;1.45691143457632;0
07_01;-4.764838824287521;0.544537078360354;0
07_02;-6.048204038235935;-0.18718882087468078;0
07_03;-6.186683486278595;-0.34358103947540475;0
07_04;-4.690035309195707;-0.15714872472310254;0
07_05;-5.336824441379222;0.7119989082307363;0
07_06;-5.71531611255081;0.6694058229411435;0
07_07;-5.611502421616637;1.3482931570834271;0
07_08;-5.668875022196571;0.3491810540090126;0
07_09;-4.497636908282475;0.8945031772332593;0
07_10;-3.3452663850248934;-0.7570996165552599;0
07_11;-6.13972959907079;-0.21183570054197598;0
07_12;-5.158604451032619;-0.4381240258076448;0
07_13;-6.090114648715326;-0.3903794589286522;0
07_14;-4.527086565402804;-0.3068950185433085;0
07_15;-4.706640832568517;0.16915995590758368;0
07_16;-3.9687746350492588;0.6632470872212806;0
07_17;-3.1097261027050043;0.34545407382110405;0
07_18;-3.317550615927257;-0.317863052370887;0
07_19;-4.051258759999237;-0.6963952559969249;0
07_20;-4.999150649610109;-1.0548456782035758;0
07_21;-5.5989686524818225;-1.6769305655611741;0
07_22;-5.456389356360341;-0.9135372942233475;0
07_23;-6.533705993683348;-1.115564935120253;0
07_24;-7.175588774511279;-1.0167010084012493;0
07_25;-7.069358067993243;-1.0849218531466724;0
08_01;-5.255960035534983;-0.29485978288687736;0
08_02;-5.259064446825804;-0.8867865231069814;0
08_03;-6.286395249189467;-0.11484522993635668;0
08_04;-6.6022667441001825;-0.24692050324917583;0
08_05;-4.60374896106432;0.6617034675915515;0
