id_bv;v_D_EUR; p_D_EUR ;v_D_LEG; p_D_EUR ; ecart_D ;nb_LR;nb_RN;nb_Rec;nb_autreDroite;nb_extDroite;partie_dominant
12_28;241; 0,2748 ; 231 ; 0,2251 ;-10;70;113;39;2;17;Rassemblement National
12_29;183; 0,2672 ; 152 ; 0,1870 ;-31;48;82;39;6;8;Rassemblement National
12_30;256; 0,2732 ; 209 ; 0,1930 ;-47;93;74;62;8;19;Les Républicains
12_31;209; 0,2312 ; 181 ; 0,1712 ;-28;80;70;46;3;10;Les Républicains
12_32;222; 0,2362 ; 194 ; 0,1777 ;-28;76;69;57;5;15;Les Républicains
12_33;236; 0,2489 ; 198 ; 0,1792 ;-38;77;85;51;6;17;Rassemblement National
12_34;266; 0,2642 ; 227 ; 0,1925 ;-39;93;106;52;2;13;Rassemblement National
12_35;281; 0,2862 ; 225 ; 0,1967 ;-56;138;87;44;4;8;Les Républicains
12_36;229; 0,2910 ; 230 ; 0,2357 ;1;51;106;52;10;10;Rassemblement National
12_37;200; 0,2653 ; 189 ; 0,1967 ;-11;58;88;37;4;13;Rassemblement National
12_38;248; 0,2594 ; 217 ; 0,1872 ;-31;66;114;49;6;13;Rassemblement National
12_39;214; 0,2823 ; 191 ; 0,2108 ;-23;65;86;46;7;10;Rassemblement National
12_40;208; 0,2340 ; 193 ; 0,1883 ;-15;72;82;36;4;14;Rassemblement National
12_41;218; 0,2458 ; 191 ; 0,1858 ;-27;94;77;40;2;5;Les Républicains
12_42;255; 0,2565 ; 231 ; 0,1925 ;-24;80;95;56;8;16;Rassemblement National
12_43;153; 0,3188 ; 155 ; 0,2520 ;2;20;90;25;5;13;Rassemblement National
12_44;204; 0,2437 ; 167 ; 0,1740 ;-37;66;84;42;3;9;Rassemblement National
12_45;177; 0,2727 ; 156 ; 0,1785 ;-21;39;101;24;3;10;Rassemblement National
12_46;239; 0,2763 ; 204 ; 0,1901 ;-35;74;96;54;3;12;Rassemblement National
12_47;229; 0,2932 ; 194 ; 0,1909 ;-35;58;104;41;1;25;Rassemblement National
12_48;210; 0,2491 ; 198 ; 0,1891 ;-12;61;94;46;1;8;Rassemblement National
12_49;222; 0,2153 ; 193 ; 0,1596 ;-29;68;87;42;10;15;Rassemblement National
12_50;183; 0,2031 ; 182 ; 0,1612 ;-1;45;79;41;3;15;Rassemblement National
12_51;190; 0,2199 ; 165 ; 0,1484 ;-25;65;64;46;2;13;Les Républicains
12_52;177; 0,2138 ; 140 ; 0,1389 ;-37;86;56;26;2;7;Les Républicains
12_53;238; 0,2208 ; 179 ; 0,1446 ;-59;106;64;54;3;11;Les Républicains
12_54;213; 0,2784 ; 195 ; 0,2108 ;-18;58;80;52;1;22;Rassemblement National
12_55;233; 0,2000 ; 218 ; 0,1554 ;-15;74;91;48;6;14;Rassemblement National
12_56;138; 0,1776 ; 110 ; 0,1169 ;-28;59;40;22;4;13;Les Républicains
12_57;118; 0,1236 ; 123 ; 0,1057 ;5;35;46;27;1;9;Rassemblement National
12_58;148; 0,1597 ; 132 ; 0,1205 ;-16;51;55;23;8;11;Rassemblement National
12_59;190; 0,2337 ; 162 ; 0,1672 ;-28;66;55;48;1;20;Les Républicains
12_60;139; 0,1661 ; 125 ; 0,1241 ;-14;46;56;27;0;10;Rassemblement National
12_61;278; 0,3152 ; 249 ; 0,2270 ;-29;74;124;56;4;20;Rassemblement National
12_62;152; 0,1484 ; 110 ; 0,0934 ;-42;63;45;31;3;10;Les Républicains
12_63;194; 0,2443 ; 180 ; 0,1800 ;-14;49;86;39;4;16;Rassemblement National
12_64;235; 0,2701 ; 191 ; 0,1887 ;-44;89;87;42;6;11;Les Républicains
13_01;235; 0,2078 ; 246 ; 0,1874 ;11;75;83;54;8;15;Rassemblement National
13_02;182; 0,2082 ; 207 ; 0,2010 ;25;65;68;35;2;12;Rassemblement National
13_03;219; 0,2317 ; 256 ; 0,2173 ;37;65;93;38;6;17;Rassemblement National
13_04;185; 0,2566 ; 197 ; 0,2165 ;12;34;94;34;5;18;Rassemblement National
13_05;229; 0,2351 ; 218 ; 0,1896 ;-11;71;87;45;10;16;Rassemblement National
13_06;169; 0,2167 ; 172 ; 0,1928 ;3;45;54;48;8;14;Rassemblement National
13_07;212; 0,2232 ; 224 ; 0,1911 ;12;59;98;33;3;19;Rassemblement National
13_08;214; 0,2316 ; 215 ; 0,2002 ;1;53;99;42;0;20;Rassemblement National
13_09;171; 0,2493 ; 199 ; 0,2386 ;28;33;83;33;6;16;Rassemblement National
13_10;191; 0,2671 ; 244 ; 0,2702 ;53;32;102;39;5;13;Rassemblement National
13_11;212; 0,2739 ; 239 ; 0,2464 ;27;46;109;38;2;17;Rassemblement National
13_12;203; 0,2671 ; 254 ; 0,2566 ;51;37;109;38;2;17;Rassemblement National
13_13;207; 0,1897 ; 240 ; 0,1885 ;33;62;69;46;1;29;Rassemblement National
13_14;243; 0,3123 ; 264 ; 0,2747 ;21;48;119;42;10;24;Rassemblement National
13_15;203; 0,2534 ; 271 ; 0,2439 ;68;50;99;41;1;12;Rassemblement National
13_16;248; 0,2346 ; 276 ; 0,2043 ;28;48;114;49;3;34;Rassemblement National
13_17;228; 0,2413 ; 250 ; 0,2170 ;22;62;106;42;7;11;Rassemblement National
13_18;217; 0,2713 ; 232 ; 0,2313 ;15;55;102;39;1;20;Rassemblement National
13_19;238; 0,2714 ; 297 ; 0,2528 ;59;56;116;42;3;21;Rassemblement National
13_20;235; 0,3068 ; 336 ; 0,2968 ;101;47;115;44;5;24;Rassemblement National
13_21;245; 0,3695 ; 331 ; 0,3261 ;86;58;113;44;5;25;Rassemblement National
13_22;232; 0,3213 ; 288 ; 0,3032 ;56;32;134;38;4;24;Rassemblement National
13_23;197; 0,2371 ; 209 ; 0,1979 ;12;41;95;36;8;17;Rassemblement National
13_24;154; 0,1990 ; 203 ; 0,2093 ;49;40;77;24;2;11;Rassemblement National
13_25;172; 0,2272 ; 208 ; 0,2010 ;36;26;104;24;5;13;Rassemblement National
13_26;239; 0,2345 ; 253 ; 0,2014 ;14;64;110;43;6;16;Rassemblement National
13_27;220; 0,2056 ; 246 ; 0,1830 ;26;47;98;47;8;20;Rassemblement National
13_28;241; 0,2179 ; 249 ; 0,1945 ;8;80;95;48;5;13;Rassemblement National
13_29;182; 0,2984 ; 224 ; 0,2797 ;42;24;96;39;6;17;Rassemblement National
13_30;227; 0,2208 ; 250 ; 0,2003 ;23;58;96;55;4;14;Rassemblement National
13_31;181; 0,2132 ; 189 ; 0,1919 ;8;55;77;28;5;16;Rassemblement National
13_32;231; 0,2463 ; 246 ; 0,2103 ;15;54;100;35;11;31;Rassemblement National
13_33;83; 0,2470 ; 100 ; 0,2114 ;17;22;41;11;4;5;Rassemblement National
13_34;225; 0,2212 ; 234 ; 0,1910 ;9;70;90;41;3;21;Rassemblement National
13_35;146; 0,2014 ; 141 ; 0,1533 ;-5;42;50;31;5;18;Rassemblement National
13_36;196; 0,2083 ; 213 ; 0,1981 ;17;62;87;34;5;8;Rassemblement National
13_37;222; 0,2475 ; 254 ; 0,2094 ;32;44;109;42;10;17;Rassemblement National
13_38;199; 0,2779 ; 207 ; 0,2145 ;8;75;73;37;2;12;Les Républicains
13_39;227; 0,2382 ; 215 ; 0,1710 ;-12;63;93;47;9;15;Rassemblement National
13_40;193; 0,1797 ; 162 ; 0,1301 ;-31;74;59;43;1;16;Les Républicains
13_41;186; 0,1808 ; 189 ; 0,1487 ;3;50;87;29;3;17;Rassemblement National
13_42;178; 0,2412 ; 214 ; 0,2136 ;36;19;108;31;2;18;Rassemblement National
13_43;217; 0,2099 ; 196 ; 0,1531 ;-21;61;84;46;6;20;Rassemblement National
13_44;174; 0,2217 ; 190 ; 0,1917 ;16;34;88;33;2;17;Rassemblement National
13_45;183; 0,2328 ; 189 ; 0,1828 ;6;46;85;35;8;9;Rassemblement National
13_46;285; 0,3589 ; 300 ; 0,2863 ;15;47;163;43;16;16;Rassemblement National
13_47;240; 0,1995 ; 231 ; 0,1654 ;-9;71;93;45;4;27;Rassemblement National
13_48;200; 0,1878 ; 198 ; 0,1573 ;-2;51;82;42;8;17;Rassemblement National
13_49;210; 0,1765 ; 170 ; 0,1245 ;-40;74;78;41;8;9;Rassemblement National
13_50;219; 0,1873 ; 177 ; 0,1299 ;-42;70;82;44;6;17;Rassemblement National
13_51;222; 0,2057 ; 228 ; 0,1834 ;6;70;94;44;6;8;Rassemblement National
13_52;193; 0,2080 ; 174 ; 0,1622 ;-19;61;68;43;4;17;Rassemblement National
13_53;183; 0,2389 ; 149 ; 0,1611 ;-34;55;82;28;2;16;Rassemblement National
13_54;213; 0,1877 ; 203 ; 0,1547 ;-10;75;88;26;6;18;Rassemblement National
13_55;197; 0,2623 ; 190 ; 0,2067 ;-7;52;90;38;9;8;Rassemblement National
13_56;223; 0,2053 ; 220 ; 0,1734 ;-3;71;100;36;2;14;Rassemblement National
13_57;183; 0,1791 ; 181 ; 0,1547 ;-2;51;67;46;2;17;Rassemblement National
13_58;168; 0,1614 ; 159 ; 0,1308 ;-9;60;55;36;2;15;Les Républicains
13_59;234; 0,2106 ; 246 ; 0,1841 ;12;90;68;58;2;16;Les Républicains
13_60;173; 0,1771 ; 174 ; 0,1485 ;1;60;70;24;6;13;Rassemblement National
13_61;202; 0,1858 ; 238 ; 0,1890 ;36;92;68;31;2;9;Les Républicains
13_62;232; 0,2051 ; 221 ; 0,1757 ;-11;78;93;45;5;11;Rassemblement National
13_63;194; 0,2038 ; 194 ; 0,1851 ;0;88;50;44;2;10;Les Républicains
13_64;165; 0,1948 ; 192 ; 0,1939 ;27;47;69;30;3;16;Rassemblement National
13_65;212; 0,1749 ; 208 ; 0,1495 ;-4;86;63;39;6;18;Les Républicains
13_66;236; 0,2003 ; 235 ; 0,1703 ;-1;100;63;54;2;17;Les Républicains
13_67;205; 0,1998 ; 205 ; 0,1757 ;0;73;68;48;1;15;Les Républicains
13_68;170; 0,1754 ; 179 ; 0,1543 ;9;47;61;44;4;14;Rassemblement National
13_69;172; 0,1928 ; 174 ; 0,1589 ;2;61;58;36;7;10;Les Républicains
13_70;169; 0,2414 ; 183 ; 0,2148 ;14;53;63;41;2;10;Rassemblement National
13_71;125; 0,1857 ; 138 ; 0,1565 ;13;30;67;20;1;7;Rassemblement National
13_72;170; 0,2155 ; 197 ; 0,2029 ;27;39;76;35;5;15;Rassemblement National
14_01;180; 0,1993 ; 173 ; 0,1608 ;-7;58;62;44;6;10;Rassemblement National
14_02;228; 0,2360 ; 221 ; 0,1975 ;-7;79;86;52;3;8;Rassemblement National
14_03;211; 0,2053 ; 180 ; 0,1484 ;-31;101;54;43;2;11;Les Républicains
14_04;200; 0,2105 ; 186 ; 0,1571 ;-14;89;58;40;3;10;Les Républicains
14_05;204; 0,2145 ; 175 ; 0,1608 ;-29;96;55;43;3;7;Les Républicains
14_06;201; 0,2081 ; 148 ; 0,1285 ;-53;89;55;46;2;9;Les Républicains
14_07;245; 0,2367 ; 201 ; 0,1709 ;-44;98;78;56;2;11;Les Républicains
14_08;248; 0,2470 ; 208 ; 0,1787 ;-40;113;67;52;1;15;Les Républicains
14_09;251; 0,2361 ; 214 ; 0,1737 ;-37;98;76;61;5;11;Les Républicains
14_10;234; 0,2796 ; 231 ; 0,2303 ;-3;62;103;47;6;16;Rassemblement National
14_11;245; 0,2492 ; 191 ; 0,1729 ;-54;109;73;45;7;11;Les Républicains
14_12;293; 0,2895 ; 241 ; 0,2053 ;-52;105;110;55;2;21;Rassemblement National
14_13;228; 0,2269 ; 195 ; 0,1660 ;-33;100;67;43;5;13;Les Républicains
14_14;277; 0,2591 ; 224 ; 0,1796 ;-53;116;70;70;7;14;Les Républicains
14_15;200; 0,2018 ; 189 ; 0,1588 ;-11;62;77;40;5;16;Rassemblement National
14_16;218; 0,2428 ; 220 ; 0,2022 ;2;80;92;33;2;11;Rassemblement National
14_17;209; 0,2193 ; 170 ; 0,1487 ;-39;96;64;35;3;11;Les Républicains
14_18;224; 0,2258 ; 212 ; 0,1779 ;-12;72;76;47;6;23;Rassemblement National
14_19;182; 0,1809 ; 178 ; 0,1454 ;-4;60;75;32;4;11;Rassemblement National
14_20;192; 0,2440 ; 187 ; 0,1940 ;-5;46;90;30;5;21;Rassemblement National
14_21;213; 0,2934 ; 228 ; 0,2431 ;15;43;109;31;1;29;Rassemblement National
14_22;203; 0,2312 ; 187 ; 0,1719 ;-16;56;87;29;6;25;Rassemblement National
14_23;214; 0,2227 ; 173 ; 0,1557 ;-41;62;81;45;3;23;Rassemblement National
14_24;201; 0,1933 ; 169 ; 0,1406 ;-32;83;70;37;4;7;Les Républicains
14_25;203; 0,2006 ; 186 ; 0,1551 ;-17;73;72;45;1;12;Les Républicains
14_26;227; 0,2693 ; 175 ; 0,1806 ;-52;98;72;44;0;13;Les Républicains
14_27;213; 0,2983 ; 192 ; 0,2259 ;-21;116;48;41;1;7;Les Républicains
14_28;246; 0,2370 ; 192 ; 0,1616 ;-54;114;76;41;3;12;Les Républicains
14_29;210; 0,1925 ; 151 ; 0,1148 ;-59;89;62;35;5;19;Les Républicains
14_30;240; 0,2721 ; 221 ; 0,2093 ;-19;100;72;46;5;17;Les Républicains
14_31;239; 0,2369 ; 174 ; 0,1483 ;-65;132;52;42;3;10;Les Républicains
14_32;230; 0,2500 ; 197 ; 0,1833 ;-33;75;89;48;4;14;Rassemblement National
14_33;284; 0,2804 ; 219 ; 0,1880 ;-65;123;79;59;6;17;Les Républicains
14_34;198; 0,2100 ; 167 ; 0,1541 ;-31;86;60;42;3;7;Les Républicains
14_35;219; 0,2244 ; 183 ; 0,1583 ;-36;91;68;43;4;13;Les Républicains
14_36;203; 0,2721 ; 185 ; 0,2040 ;-18;62;73;46;3;19;Rassemblement National
14_37;237; 0,2319 ; 213 ; 0,1793 ;-24;51;113;51;4;18;Rassemblement National
14_38;160; 0,2033 ; 145 ; 0,1515 ;-15;63;47;36;2;12;Les Républicains
14_39;225; 0,2396 ; 202 ; 0,1835 ;-23;93;74;42;3;13;Les Républicains
14_40;189; 0,1884 ; 182 ; 0,1577 ;-7;68;64;43;2;12;Les Républicains
14_41;217; 0,1971 ; 198 ; 0,1507 ;-19;100;53;45;3;16;Les Républicains
14_42;165; 0,2374 ; 176 ; 0,2025 ;11;50;74;29;2;10;Rassemblement National
14_43;236; 0,2443 ; 226 ; 0,2011 ;-10;89;76;47;6;18;Les Républicains
14_44;201; 0,2720 ; 194 ; 0,2113 ;-7;35;90;47;7;22;Rassemblement National
14_45;155; 0,2605 ; 150 ; 0,1868 ;-5;22;74;37;2;20;Rassemblement National
14_46;238; 0,2500 ; 182 ; 0,1687 ;-56;106;74;40;8;10;Les Républicains
14_47;218; 0,2639 ; 230 ; 0,2347 ;12;68;101;33;9;7;Rassemblement National
14_48;198; 0,2352 ; 194 ; 0,1862 ;-4;61;100;22;4;11;Rassemblement National
14_49;230; 0,2184 ; 230 ; 0,1836 ;0;70;94;38;9;19;Rassemblement National
14_50;226; 0,2285 ; 211 ; 0,1817 ;-15;96;73;42;3;12;Les Républicains
14_51;215; 0,2684 ; 207 ; 0,2114 ;-8;41;110;40;4;20;Rassemblement National
14_52;221; 0,2995 ; 249 ; 0,2503 ;28;52;113;34;4;18;Rassemblement National
14_53;220; 0,3005 ; 224 ; 0,2459 ;4;50;118;33;5;14;Rassemblement National
14_54;227; 0,2612 ; 248 ; 0,2357 ;21;56;112;37;5;17;Rassemblement National
14_55;292; 0,2941 ; 300 ; 0,2479 ;8;83;139;45;7;18;Rassemblement National
14_56;251; 0,3774 ; 271 ; 0,3001 ;20;40;139;46;3;23;Rassemblement National
14_57;174; 0,2995 ; 217 ; 0,2556 ;43;24;103;21;4;22;Rassemblement National
14_58;215; 0,2739 ; 210 ; 0,2239 ;-5;63;89;43;3;17;Rassemblement National
15_01;243; 0,3189 ; 266 ; 0,2917 ;23;103;70;53;3;14;Les Républicains
15_02;323; 0,3734 ; 329 ; 0,3113 ;6;166;81;68;1;7;Les Républicains
15_03;266; 0,3304 ; 277 ; 0,2838 ;11;92;99;57;4;14;Rassemblement National
15_04;345; 0,3314 ; 364 ; 0,2921 ;19;151;103;77;2;12;Les Républicains
15_05;349; 0,3487 ; 353 ; 0,2840 ;4;169;87;69;9;15;Les Républicains
15_06;349; 0,3299 ; 351 ; 0,2681 ;2;165;86;76;6;16;Les Républicains
15_07;331; 0,3412 ; 303 ; 0,2635 ;-28;157;90;69;4;11;Les Républicains
15_08;271; 0,2892 ; 263 ; 0,2463 ;-8;140;69;47;4;11;Les Républicains
15_09;312; 0,3240 ; 337 ; 0,2883 ;25;131;92;71;1;17;Les Républicains
15_10;318; 0,3475 ; 297 ; 0,2628 ;-21;127;98;74;3;16;Les Républicains
15_11;342; 0,3581 ; 337 ; 0,2873 ;-5;148;108;61;6;19;Les Républicains
15_12;376; 0,3316 ; 378 ; 0,2855 ;2;192;104;64;6;10;Les Républicains
15_13;322; 0,3160 ; 298 ; 0,2392 ;-24;149;91;58;9;15;Les Républicains
15_14;378; 0,3559 ; 350 ; 0,2760 ;-28;160;99;97;5;17;Les Républicains
15_15;379; 0,4278 ; 375 ; 0,3659 ;-4;161;96;104;2;16;Les Républicains
15_16;450; 0,4021 ; 465 ; 0,3429 ;15;213;123;87;4;23;Les Républicains
15_17;477; 0,4943 ; 521 ; 0,4464 ;44;196;129;136;3;13;Les Républicains
15_18;433; 0,4520 ; 428 ; 0,3832 ;-5;189;123;96;5;20;Les Républicains
15_19;309; 0,3926 ; 329 ; 0,3534 ;20;142;97;56;4;10;Les Républicains
15_20;354; 0,4092 ; 344 ; 0,3273 ;-10;200;73;68;0;13;Les Républicains
15_21;399; 0,4218 ; 383 ; 0,3366 ;-16;211;85;93;3;7;Les Républicains
15_22;343; 0,3676 ; 344 ; 0,3034 ;1;178;70;83;2;10;Les Républicains
15_23;390; 0,3846 ; 334 ; 0,2860 ;-56;216;70;90;3;11;Les Républicains
15_24;446; 0,4248 ; 403 ; 0,3367 ;-43;222;116;95;5;8;Les Républicains
15_25;358; 0,3324 ; 358 ; 0,2934 ;0;157;99;82;2;18;Les Républicains
15_26;277; 0,2916 ; 304 ; 0,2643 ;27;103;89;65;4;16;Les Républicains
15_27;257; 0,3115 ; 257 ; 0,2520 ;0;84;98;55;4;16;Rassemblement National
15_28;339; 0,3599 ; 324 ; 0,2885 ;-15;172;90;59;4;14;Les Républicains
15_29;354; 0,3467 ; 336 ; 0,2872 ;-18;147;107;82;1;17;Les Républicains
15_30;341; 0,3360 ; 337 ; 0,2930 ;-4;169;77;82;1;12;Les Républicains
15_31;383; 0,3693 ; 360 ; 0,2980 ;-23;194;68;103;4;14;Les Républicains
15_32;392; 0,3698 ; 370 ; 0,2977 ;-22;184;85;102;7;14;Les Républicains
15_33;355; 0,3381 ; 350 ; 0,2843 ;-5;173;87;83;2;10;Les Républicains
15_34;351; 0,3378 ; 309 ; 0,2537 ;-42;177;78;84;1;11;Les Républicains
15_35;285; 0,2882 ; 308 ; 0,2492 ;23;124;98;48;4;11;Les Républicains
15_36;352; 0,3305 ; 354 ; 0,2761 ;2;150;92;81;3;26;Les Républicains
15_37;301; 0,2977 ; 327 ; 0,2680 ;26;121;88;76;3;13;Les Républicains
15_38;289; 0,3165 ; 309 ; 0,2747 ;20;109;109;43;3;25;Les Républicains
15_39;225; 0,3116 ; 240 ; 0,2570 ;15;57;103;44;1;20;Rassemblement National
15_40;301; 0,3550 ; 299 ; 0,2797 ;-2;93;116;61;3;28;Rassemblement National
15_41;323; 0,3316 ; 344 ; 0,2945 ;21;143;99;65;6;10;Les Républicains
15_42;215; 0,3370 ; 204 ; 0,2787 ;-11;96;77;31;0;11;Les Républicains
15_43;325; 0,3556 ; 319 ; 0,3050 ;-6;149;91;55;1;29;Les Républicains
15_44;278; 0,2825 ; 295 ; 0,2570 ;17;95;97;64;1;21;Rassemblement National
15_45;264; 0,2667 ; 227 ; 0,1922 ;-37;87;100;58;2;17;Rassemblement National
15_46;285; 0,3078 ; 229 ; 0,2097 ;-56;118;86;59;3;19;Les Républicains
15_47;230; 0,2369 ; 196 ; 0,1712 ;-34;86;77;43;6;18;Les Républicains
15_48;249; 0,3483 ; 222 ; 0,2265 ;-27;51;150;36;1;11;Rassemblement National
15_49;241; 0,3154 ; 240 ; 0,2281 ;-1;53;125;38;3;22;Rassemblement National
15_50;249; 0,3128 ; 197 ; 0,2044 ;-52;86;86;49;0;28;Les Républicains
15_51;318; 0,3174 ; 274 ; 0,2246 ;-44;127;111;60;6;14;Les Républicains
15_52;281; 0,3452 ; 248 ; 0,2441 ;-33;71;142;42;7;19;Rassemblement National
15_53;238; 0,2668 ; 215 ; 0,1972 ;-23;88;83;58;1;8;Les Républicains
15_54;289; 0,3052 ; 233 ; 0,2080 ;-56;116;98;59;4;12;Les Républicains
15_55;304; 0,3150 ; 266 ; 0,2247 ;-38;111;108;70;3;12;Les Républicains
15_56;317; 0,2952 ; 245 ; 0,1880 ;-72;115;105;71;6;20;Les Républicains
15_57;304; 0,2995 ; 207 ; 0,1734 ;-97;163;72;55;3;11;Les Républicains
15_58;257; 0,2631 ; 227 ; 0,1943 ;-30;122;79;43;3;10;Les Républicains
15_59;333; 0,3733 ; 257 ; 0,2505 ;-76;117;125;72;2;17;Rassemblement National
15_60;397; 0,3642 ; 287 ; 0,2272 ;-110;194;95;93;4;11;Les Républicains
15_61;300; 0,3125 ; 239 ; 0,2086 ;-61;146;97;42;3;12;Les Républicains
15_62;322; 0,3185 ; 242 ; 0,2099 ;-80;152;85;74;1;10;Les Républicains
15_63;287; 0,3157 ; 243 ; 0,2295 ;-44;141;77;56;1;12;Les Républicains
15_64;303; 0,3573 ; 259 ; 0,2519 ;-44;124;98;66;7;8;Les Républicains
15_65;307; 0,3549 ; 266 ; 0,2555 ;-41;111;88;90;3;15;Les Républicains
15_66;329; 0,3522 ; 264 ; 0,2282 ;-65;135;120;58;6;10;Les Républicains
15_67;298; 0,3177 ; 237 ; 0,2081 ;-61;110;100;73;4;11;Les Républicains
15_68;323; 0,2915 ; 258 ; 0,2012 ;-65;128;94;71;8;22;Les Républicains
15_69;307; 0,3162 ; 256 ; 0,2060 ;-51;108;121;51;7;20;Rassemblement National
15_70;305; 0,3065 ; 242 ; 0,2079 ;-63;115;94;68;3;25;Les Républicains
15_71;331; 0,3239 ; 285 ; 0,2271 ;-46;138;92;74;6;21;Les Républicains
15_72;322; 0,3833 ; 258 ; 0,2493 ;-64;125;124;59;5;9;Les Républicains
15_73;310; 0,3713 ; 226 ; 0,2297 ;-84;125;96;64;7;18;Les Républicains
15_74;352; 0,3663 ; 268 ; 0,2308 ;-84;148;117;72;3;12;Les Républicains
15_75;304; 0,3478 ; 242 ; 0,2331 ;-62;116;98;67;6;17;Les Républicains
15_76;165; 0,2952 ; 141 ; 0,1939 ;-24;23;93;26;3;20;Rassemblement National
15_77;276; 0,3126 ; 234 ; 0,2220 ;-42;102;96;54;4;20;Les Républicains
15_78;176; 0,2862 ; 132 ; 0,1679 ;-44;59;77;24;2;14;Rassemblement National
15_79;246; 0,3207 ; 192 ; 0,2032 ;-54;105;83;44;3;11;Les Républicains
15_80;312; 0,3369 ; 264 ; 0,2368 ;-48;89;128;71;4;20;Rassemblement National
15_81;295; 0,3112 ; 210 ; 0,1913 ;-85;135;81;63;9;7;Les Républicains
15_82;279; 0,3470 ; 218 ; 0,2137 ;-61;108;89;61;0;21;Les Républicains
15_83;309; 0,3182 ; 246 ; 0,2135 ;-63;152;94;50;4;9;Les Républicains
15_84;280; 0,3306 ; 247 ; 0,2296 ;-33;109;100;57;3;11;Les Républicains
15_85;313; 0,2947 ; 289 ; 0,2191 ;-24;99;112;75;2;25;Rassemblement National
15_86;273; 0,3396 ; 205 ; 0,2127 ;-68;110;86;67;2;8;Les Républicains
15_87;303; 0,3326 ; 253 ; 0,2332 ;-50;122;91;72;4;14;Les Républicains
15_88;349; 0,3678 ; 268 ; 0,2423 ;-81;152;102;79;5;11;Les Républicains
15_89;341; 0,3605 ; 257 ; 0,2341 ;-84;169;100;60;3;9;Les Républicains
15_90;299; 0,3379 ; 231 ; 0,2196 ;-68;141;65;77;4;12;Les Républicains
15_91;345; 0,3464 ; 274 ; 0,2393 ;-71;127;117;76;4;21;Les Républicains
15_92;327; 0,3543 ; 270 ; 0,2439 ;-57;113;136;57;3;18;Rassemblement National
15_93;292; 0,3160 ; 225 ; 0,1996 ;-67;136;85;50;2;19;Les Républicains
15_94;246; 0,3118 ; 217 ; 0,2144 ;-29;75;97;54;8;12;Rassemblement National
15_95;273; 0,3491 ; 226 ; 0,2320 ;-47;100;102;51;2;18;Rassemblement National
16_01;573; 0,5950 ; 502 ; 0,4350 ;-71;277;106;178;3;9;Les Républicains
16_02;623; 0,6108 ; 509 ; 0,4267 ;-114;316;112;171;5;19;Les Républicains
16_03;500; 0,5889 ; 438 ; 0,4207 ;-62;239;111;143;0;7;Les Républicains
16_04;603; 0,5809 ; 505 ; 0,3924 ;-98;312;95;190;2;4;Les Républicains
16_05;353; 0,5332 ; 322 ; 0,3870 ;-31;200;69;78;0;6;Les Républicains
16_06;497; 0,5713 ; 398 ; 0,4020 ;-99;260;84;143;2;8;Les Républicains
16_07;475; 0,5392 ; 420 ; 0,3875 ;-55;251;89;128;0;7;Les Républicains
16_08;448; 0,5430 ; 374 ; 0,3896 ;-74;250;78;104;0;16;Les Républicains
16_09;430; 0,5382 ; 364 ; 0,3885 ;-66;215;84;120;0;11;Les Républicains
16_10;474; 0,5261 ; 407 ; 0,3910 ;-67;249;107;105;4;9;Les Républicains
16_11;454; 0,5411 ; 388 ; 0,3911 ;-66;219;80;139;4;12;Les Républicains
16_12;460; 0,5263 ; 411 ; 0,4018 ;-49;242;109;95;6;8;Les Républicains
16_13;458; 0,4898 ; 396 ; 0,3633 ;-62;232;93;123;4;6;Les Républicains
16_14;452; 0,5714 ; 385 ; 0,4057 ;-67;226;85;127;7;7;Les Républicains
16_15;535; 0,5590 ; 437 ; 0,4017 ;-98;263;114;147;2;9;Les Républicains
16_16;411; 0,4507 ; 391 ; 0,3692 ;-20;212;84;104;3;8;Les Républicains
16_17;500; 0,5447 ; 384 ; 0,3585 ;-116;292;91;106;3;8;Les Républicains
16_18;514; 0,5422 ; 428 ; 0,3934 ;-86;272;94;134;1;13;Les Républicains
16_19;449; 0,5239 ; 383 ; 0,3826 ;-66;230;94;110;3;12;Les Républicains
16_20;517; 0,5319 ; 431 ; 0,3784 ;-86;266;102;136;1;12;Les Républicains
16_21;487; 0,4944 ; 403 ; 0,3468 ;-84;236;113;121;5;12;Les Républicains
16_22;559; 0,5385 ; 483 ; 0,3905 ;-76;297;96;146;4;16;Les Républicains
16_23;567; 0,5857 ; 460 ; 0,4212 ;-107;313;96;147;4;7;Les Républicains
16_24;516; 0,5260 ; 477 ; 0,3982 ;-39;233;158;106;5;14;Les Républicains
16_25;445; 0,4858 ; 408 ; 0,3802 ;-37;188;146;99;3;9;Les Républicains
16_26;518; 0,5390 ; 468 ; 0,4000 ;-50;275;119;112;3;9;Les Républicains
16_27;503; 0,5368 ; 468 ; 0,4353 ;-35;273;84;135;2;9;Les Républicains
16_28;416; 0,4906 ; 373 ; 0,3795 ;-43;229;77;101;2;7;Les Républicains
16_29;458; 0,5313 ; 391 ; 0,3938 ;-67;230;81;124;1;22;Les Républicains
16_30;394; 0,4679 ; 383 ; 0,3733 ;-11;194;99;90;2;9;Les Républicains
16_31;466; 0,5266 ; 396 ; 0,3736 ;-70;246;107;101;3;9;Les Républicains
16_32;405; 0,4407 ; 403 ; 0,3608 ;-2;179;118;97;3;8;Les Républicains
16_33;465; 0,4789 ; 419 ; 0,3615 ;-46;241;85;122;2;15;Les Républicains
