id_bv;v_D_EUR; p_D_EUR ;v_D_LEG; p_D_EUR ; ecart_D ;nb_LR;nb_RN;nb_Rec;nb_autreDroite;nb_extDroite;partie_dominant
05_18;199; 0,2366 ; 164 ; 0,1715 ;-35;58;80;40;10;11;Rassemblement National
05_19;249; 0,2715 ; 192 ; 0,1801 ;-57;100;69;55;6;19;Les Républicains
05_20;245; 0,2579 ; 230 ; 0,2030 ;-15;78;99;51;6;11;Rassemblement National
05_21;215; 0,2067 ; 181 ; 0,1484 ;-34;89;74;43;3;6;Les Républicains
05_22;236; 0,2513 ; 177 ; 0,1664 ;-59;104;72;49;4;7;Les Républicains
05_23;254; 0,2665 ; 221 ; 0,1987 ;-33;90;94;59;5;6;Rassemblement National
05_24;196; 0,2000 ; 192 ; 0,1603 ;-4;64;71;42;2;17;Rassemblement National
05_25;233; 0,2240 ; 185 ; 0,1488 ;-48;97;69;52;3;12;Les Républicains
06_01;272; 0,3358 ; 231 ; 0,2391 ;-41;108;76;66;0;22;Les Républicains
06_02;319; 0,3789 ; 262 ; 0,2649 ;-57;143;60;98;4;14;Les Républicains
06_03;237; 0,2838 ; 193 ; 0,1917 ;-44;120;53;55;4;5;Les Républicains
06_04;209; 0,3083 ; 151 ; 0,1890 ;-58;91;45;54;5;14;Les Républicains
06_05;229; 0,2940 ; 183 ; 0,2022 ;-46;110;56;46;1;16;Les Républicains
06_06;201; 0,2765 ; 195 ; 0,2201 ;-6;81;46;66;2;6;Les Républicains
06_07;216; 0,3370 ; 188 ; 0,2445 ;-28;98;55;46;8;9;Les Républicains
06_08;201; 0,3211 ; 164 ; 0,2103 ;-37;105;55;33;2;6;Les Républicains
06_09;187; 0,3425 ; 153 ; 0,2347 ;-34;85;43;47;4;8;Les Républicains
06_10;227; 0,2956 ; 166 ; 0,1867 ;-61;118;50;50;0;9;Les Républicains
06_11;300; 0,3614 ; 241 ; 0,2485 ;-59;134;83;64;4;15;Les Républicains
06_12;295; 0,3715 ; 229 ; 0,2503 ;-66;162;65;51;2;15;Les Républicains
06_13;336; 0,3705 ; 262 ; 0,2479 ;-74;178;65;76;6;11;Les Républicains
06_14;280; 0,3590 ; 241 ; 0,2513 ;-39;126;67;74;2;11;Les Républicains
06_15;260; 0,3178 ; 210 ; 0,2192 ;-50;148;48;52;1;11;Les Républicains
06_16;324; 0,3316 ; 267 ; 0,2316 ;-57;152;67;87;6;12;Les Républicains
06_17;341; 0,3403 ; 270 ; 0,2261 ;-71;158;80;87;3;13;Les Républicains
06_18;271; 0,3780 ; 229 ; 0,2759 ;-42;140;62;56;2;11;Les Républicains
06_19;233; 0,3236 ; 183 ; 0,2210 ;-50;102;58;55;7;11;Les Républicains
06_20;291; 0,3584 ; 238 ; 0,2607 ;-53;121;80;69;3;18;Les Républicains
06_21;234; 0,2985 ; 172 ; 0,1909 ;-62;113;58;47;4;12;Les Républicains
06_22;291; 0,3248 ; 224 ; 0,2115 ;-67;159;51;65;4;12;Les Républicains
07_01;256; 0,4116 ; 180 ; 0,2423 ;-76;131;63;56;1;5;Les Républicains
07_02;394; 0,4608 ; 294 ; 0,2871 ;-100;194;82;95;6;17;Les Républicains
07_03;367; 0,4565 ; 278 ; 0,2887 ;-89;176;72;111;2;6;Les Républicains
07_04;310; 0,4000 ; 235 ; 0,2500 ;-75;134;88;71;3;14;Les Républicains
07_05;365; 0,4239 ; 243 ; 0,2378 ;-122;220;60;72;2;11;Les Républicains
07_06;361; 0,3932 ; 254 ; 0,2369 ;-107;186;73;92;0;10;Les Républicains
07_07;339; 0,3800 ; 255 ; 0,2415 ;-84;183;54;88;4;10;Les Républicains
07_08;432; 0,4146 ; 325 ; 0,2731 ;-107;235;84;100;1;12;Les Républicains
07_09;327; 0,4017 ; 292 ; 0,3042 ;-35;176;64;77;3;7;Les Républicains
07_10;389; 0,3945 ; 388 ; 0,3392 ;-1;155;104;103;4;23;Les Républicains
07_11;433; 0,5082 ; 365 ; 0,3879 ;-68;242;76;101;2;12;Les Républicains
07_12;367; 0,4520 ; 318 ; 0,3323 ;-49;219;61;79;2;6;Les Républicains
07_13;362; 0,4399 ; 379 ; 0,3883 ;17;207;61;87;1;6;Les Républicains
