id_bv;num_circ;nom_quartier;num_arrond;nb_procu;nb_inscr;nb_abscent;taux_ab;nb_emarg;nb_votant;nb_blanc_null;nb_exprim;NB_ExtGauche;NB_Gauche;NB_Centre;NB_Droite;NB_ExtDroite;NB_Divers;;LFI/Gauche;LFI/PS;LFI/EELV;EELV/PS;LFI/RN
04_40;7;Saint-Gervais;4;87;1486;505;33,98%;981;981;3;978;0;201;253;103;134;13;;0,21;0,30;0,79;0,38;1,09
04_41;7;Arsenal;4;85;1703;624;36,64%;1070;1079;6;1073;2;257;255;123;140;18;;0,27;0,41;0,90;0,46;1,73
04_42;7;Arsenal;4;66;1353;507;37,47%;846;846;12;834;5;165;199;90;150;12;;0,23;0,33;0,84;0,39;0,93
04_43;7;Arsenal;4;74;1762;691;39,22%;1071;1071;12;1059;3;285;199;109;202;11;;0,37;0,56;1,21;0,46;1,25
04_44;7;Notre-Dame;4;62;1151;420;36,49%;731;731;3;728;3;141;185;92;131;17;;0,25;0,37;0,94;0,39;1,26
04_45;7;Notre-Dame;4;41;1007;403;40,02%;604;604;8;596;3;100;156;85;88;15;;0,21;0,28;0,80;0,36;0,93
04_46;7;Saint-Gervais;4;50;1084;412;38,01%;673;672;7;665;2;163;131;59;107;15;;0,27;0,39;0,97;0,40;1,68
04_47;7;Saint-Gervais;4;63;1263;426;33,73%;837;837;5;832;2;201;187;67;132;14;;0,32;0,45;1,23;0,37;1,47
04_48;7;Saint-Merri;4;59;1682;688;40,90%;994;994;6;988;2;292;182;65;159;17;;0,39;0,58;1,40;0,41;1,85
04_49;7;Saint-Gervais;4;68;1285;498;38,75%;787;787;4;783;0;182;179;81;101;9;;0,24;0,34;0,90;0,38;1,53
04_50;7;Saint-Gervais;4;8;1183;925;78,19%;258;258;14;244;5;120;18;10;49;3;;1,48;2,44;5,59;0,44;3,39
05_01;2;Sorbonne;5;98;1535;569;37,07%;966;966;7;959;1;245;248;86;140;16;;0,41;0,61;1,45;0,42;1,96
05_02;2;Sorbonne;5;74;1611;559;34,70%;1052;1052;9;1043;1;238;251;123;171;15;;0,33;0,48;1,21;0,40;1,31
05_03;2;Sorbonne;5;81;1729;715;41,35%;1015;1014;6;1008;3;251;217;120;156;10;;0,36;0,52;1,24;0,42;1,46
05_04;2;Sorbonne;5;71;1479;545;36,85%;934;934;6;928;3;204;210;128;148;8;;0,28;0,41;1,01;0,41;1,45
05_05;2;Val-de-Grâce;5;71;1313;470;35,80%;842;843;10;833;0;251;179;94;100;8;;0,46;0,70;1,61;0,44;3,04
05_06;2;Val-de-Grâce;5;95;1429;506;35,41%;922;923;8;915;6;246;197;105;111;18;;0,37;0,55;1,11;0,50;2,31
05_07;2;Val-de-Grâce;5;96;1544;528;34,20%;1016;1016;11;1005;1;224;232;114;166;14;;0,29;0,42;1,03;0,41;1,41
05_08;2;Val-de-Grâce;5;106;1583;506;31,96%;1077;1077;2;1075;0;211;311;134;124;2;;0,23;0,31;0,97;0,32;1,59
05_09;2;Val-de-Grâce;5;116;1764;528;29,93%;1235;1236;3;1233;5;304;296;143;131;11;;0,24;0,36;0,83;0,44;2,12
05_10;2;Val-de-Grâce;5;92;1573;527;33,50%;1046;1046;6;1040;2;240;289;104;113;12;;0,29;0,40;1,15;0,35;2,07
05_11;2;Val-de-Grâce;5;97;1584;529;33,40%;1055;1055;9;1046;1;288;228;119;105;20;;0,28;0,44;0,95;0,46;2,25
05_12;2;Val-de-Grâce;5;68;1557;508;32,63%;1049;1049;7;1042;4;286;204;98;127;17;;0,30;0,45;1,14;0,39;2,09
05_13;2;Val-de-Grâce;5;99;1637;635;38,79%;1002;1002;14;988;2;267;185;92;172;17;;0,29;0,46;0,91;0,50;1,16
05_14;2;Jardin-des-Plantes;5;58;1338;485;36,25%;853;853;8;845;0;211;157;72;127;6;;0,25;0,35;0,96;0,36;1,06
05_15;2;Jardin-des-Plantes;5;80;1644;577;35,10%;1066;1067;12;1055;1;286;199;87;149;12;;0,25;0,37;0,85;0,44;1,71
05_16;2;Jardin-des-Plantes;5;83;1549;510;32,92%;1039;1039;8;1031;4;299;200;89;122;17;;0,37;0,53;1,38;0,39;3,04
05_17;2;Jardin-des-Plantes;5;84;1446;482;33,33%;964;964;9;955;1;259;166;91;145;16;;0,31;0,45;1,07;0,42;1,80
05_18;2;Jardin-des-Plantes;5;67;1323;474;35,83%;849;849;8;841;0;261;159;58;141;13;;0,40;0,64;1,18;0,54;1,66
05_19;2;Jardin-des-Plantes;5;52;1409;486;34,49%;923;923;6;917;2;241;164;100;149;20;;0,34;0,50;1,18;0,42;1,72
05_20;2;Jardin-des-Plantes;5;42;1538;581;37,78%;958;957;7;950;3;275;186;78;167;14;;0,40;0,62;1,28;0,48;1,42
05_21;2;Saint-Victor;5;91;1641;597;36,38%;1044;1044;4;1040;2;280;214;89;126;20;;0,26;0,38;0,86;0,44;1,58
05_22;2;Saint-Victor;5;71;1425;479;33,61%;946;946;7;939;2;216;247;104;132;9;;0,26;0,40;0,87;0,46;1,28
05_23;2;Saint-Victor;5;70;1483;524;35,33%;959;959;6;953;1;223;235;90;164;14;;0,36;0,52;1,43;0,37;1,24
05_24;2;Saint-Victor;5;70;1524;540;35,43%;983;984;4;980;4;267;209;64;132;14;;0,26;0,39;0,88;0,45;1,61
05_25;2;Saint-Victor;5;95;1637;588;35,92%;1049;1049;9;1040;2;289;204;97;136;13;;0,32;0,47;1,02;0,46;2,03
06_01;2;Odéon;6;80;1296;480;37,04%;816;816;6;810;0;142;211;108;164;11;;0,24;0,35;0,83;0,42;0,79
06_02;2;Odéon;6;82;1333;483;36,23%;850;850;8;842;0;114;227;143;176;4;;0,22;0,29;0,87;0,34;0,87
06_03;2;Odéon;6;81;1396;552;39,54%;844;844;9;835;1;161;220;120;117;10;;0,22;0,33;0,81;0,40;1,25
06_04;2;Monnais;6;47;1105;421;38,10%;683;684;6;678;1;117;169;91;118;9;;0,21;0,28;0,86;0,33;1,09
06_05;2;Monnais;6;93;1253;466;37,19%;787;787;8;779;0;148;196;110;119;10;;0,24;0,34;0,90;0,38;1,18
06_06;2;Monnais;6;61;1235;500;40,49%;735;735;8;727;1;133;184;81;120;12;;0,23;0,31;1,02;0,31;1,33
06_07;2;Odéon;6;54;1045;403;38,56%;642;642;1;641;0;101;191;98;117;4;;0,24;0,34;0,85;0,40;0,80
06_08;2;Saint-Germain-des-Prés;6;54;1053;423;40,17%;630;630;4;626;0;91;194;105;95;5;;0,22;0,29;0,93;0,32;0,73
06_09;2;Saint-Germain-des-Prés;6;57;918;362;39,43%;556;556;10;546;1;76;157;85;102;8;;0,28;0,36;1,40;0,26;0,98
06_10;2;Odéon;6;49;1138;364;31,99%;774;774;6;768;2;114;244;118;107;12;;0,13;0,18;0,50;0,37;0,62
06_11;2;Odéon;6;60;1326;486;36,65%;840;840;10;830;1;134;216;134;165;5;;0,27;0,37;1,23;0,30;0,78
06_12;11;Notre-Dame-des-Champs;6;69;1177;375;31,86%;802;802;8;794;2;101;243;162;133;6;;0,18;0,25;0,73;0,34;0,57
06_13;11;Notre-Dame-des-Champs;6;112;1372;461;33,60%;911;911;4;907;0;109;283;178;158;7;;0,20;0,26;0,83;0,32;0,69
06_14;11;Notre-Dame-des-Champs;6;76;1285;500;38,91%;785;785;5;780;0;143;189;126;154;7;;0,32;0,45;1,20;0,38;1,07
06_15;11;Notre-Dame-des-Champs;6;78;1269;444;34,99%;825;825;7;818;1;117;260;148;112;8;;0,23;0,31;0,93;0,33;1,10
06_16;11;Notre-Dame-des-Champs;6;90;1582;593;37,48%;989;989;12;977;1;172;287;152;172;8;;0,22;0,35;0,70;0,50;0,97
06_17;11;Notre-Dame-des-Champs;6;75;1541;533;34,59%;1008;1008;6;1002;1;157;251;158;183;8;;0,19;0,26;0,81;0,32;0,79
06_18;11;Notre-Dame-des-Champs;6;79;1066;343;32,18%;723;723;6;717;2;104;196;140;131;6;;0,23;0,32;0,90;0,36;0,73
06_19;11;Notre-Dame-des-Champs;6;65;1053;329;31,24%;724;724;4;720;0;100;234;102;131;12;;0,18;0,26;0,62;0,43;0,64
06_20;11;Notre-Dame-des-Champs;6;55;1207;390;32,31%;817;817;5;812;0;119;234;121;170;8;;0,24;0,34;0,96;0,35;0,68
06_21;11;Notre-Dame-des-Champs;6;64;1186;397;33,47%;789;789;5;784;1;127;221;113;121;9;;0,20;0,28;0,90;0,31;0,91
06_22;11;Notre-Dame-des-Champs;6;79;1325;424;32,00%;901;901;5;896;0;119;266;159;132;10;;0,20;0,26;1,02;0,26;1,08
07_01;2;Invalides;7;55;1007;381;37,84%;626;626;4;622;1;64;206;131;125;7;;0,17;0,24;0,62;0,39;0,33
07_02;2;Invalides;7;89;1398;536;38,34%;862;862;7;855;0;88;224;194;200;8;;0,21;0,28;0,81;0,35;0,48
07_03;2;Invalides;7;73;1339;526;39,28%;811;813;9;804;0;74;223;176;191;3;;0,18;0,23;1,00;0,23;0,44
07_04;2;Saint-Thomas-d'Aquin;7;58;1324;540;40,79%;782;784;9;775;0;105;252;134;176;8;;0,36;0,54;1,17;0,46;0,61
07_05;2;Saint-Thomas-d'Aquin;7;67;1390;524;37,70%;864;866;5;861;0;90;266;220;145;6;;0,23;0,31;1,05;0,30;0,70
07_06;2;Invalides;7;79;1450;527;36,34%;923;923;5;918;0;117;297;186;175;3;;0,28;0,39;1,02;0,39;0,75
07_07;2;Saint-Thomas-d'Aquin;7;85;1415;516;36,47%;899;899;7;892;1;107;287;183;156;10;;0,23;0,32;0,87;0,36;0,87
