id_bv;total_G_EUR;total_G_LEG;ecart_voix_G;p_G_EUR;p_G_LEG;nb_PS;nb_EELV;nb_PCF;nb_LFI;autresGauche;ExtGauche;partie_dominant
13_06;471;469;-2;0,6038;0,5258;232;89;13;127;8;2;Partie Socialiste
13_07;585;664;79;0,6158;0,5666;239;110;14;203;14;5;Partie Socialiste
13_08;567;641;74;0,6136;0,5968;211;81;27;232;7;9;La France Insoumise
13_09;418;483;65;0,6093;0,5791;160;62;11;175;2;8;La France Insoumise
13_10;419;476;57;0,586;0,5271;168;48;27;163;6;7;Partie Socialiste
13_11;436;504;68;0,5633;0,5196;145;56;25;197;7;6;La France Insoumise
13_12;440;549;109;0,5789;0,5545;182;50;20;180;4;4;Partie Socialiste
13_13;684;703;19;0,6269;0,5522;287;147;27;198;20;5;Partie Socialiste
13_14;410;501;91;0,527;0,5213;135;43;18;204;5;5;La France Insoumise
13_15;453;558;105;0,5655;0,5023;127;79;16;223;4;4;La France Insoumise
13_16;630;779;149;0,596;0,5766;205;108;25;266;11;15;La France Insoumise
13_17;523;596;73;0,5534;0,5174;218;88;17;184;12;4;Partie Socialiste
13_18;465;598;133;0,5813;0,5962;142;68;27;216;3;9;La France Insoumise
13_19;482;592;110;0,5496;0,5038;125;72;27;248;6;4;La France Insoumise
13_20;417;537;120;0,5444;0,4744;119;40;18;232;5;3;La France Insoumise
13_21;295;427;132;0,4449;0,4207;91;47;8;140;6;3;La France Insoumise
13_22;378;503;125;0,5235;0,5295;95;32;12;225;8;6;La France Insoumise
13_23;521;634;113;0,627;0,6004;181;98;18;209;9;6;La France Insoumise
13_24;485;568;83;0,6266;0,5856;159;104;10;204;3;5;La France Insoumise
13_25;473;629;156;0,6248;0,6077;145;64;20;232;5;7;La France Insoumise
13_26;619;726;107;0,6075;0,5780;225;129;24;224;12;5;Partie Socialiste
13_27;683;799;116;0,6383;0,5945;307;118;26;219;8;5;Partie Socialiste
13_28;654;708;54;0,5913;0,5531;299;102;27;204;13;9;Partie Socialiste
13_29;335;428;93;0,5492;0,5343;130;39;17;138;3;8;La France Insoumise
13_30;632;719;87;0,6148;0,5761;242;124;24;218;11;13;Partie Socialiste
13_31;514;526;12;0,6054;0,5340;247;92;20;141;6;8;Partie Socialiste
13_32;584;715;131;0,6226;0,6111;222;93;25;220;10;14;Partie Socialiste
13_33;192;287;95;0,5714;0,6068;52;25;10;98;1;6;La France Insoumise
13_34;599;622;23;0,589;0,5078;265;108;12;186;18;10;Partie Socialiste
13_35;439;512;73;0,6055;0,5565;152;97;15;168;6;1;La France Insoumise
13_36;537;521;-16;0,5707;0,4847;228;130;8;155;13;3;Partie Socialiste
13_37;552;710;158;0,6154;0,5853;170;56;31;278;10;7;La France Insoumise
13_38;367;443;76;0,5126;0,4591;144;74;9;131;6;3;Partie Socialiste
13_39;585;728;143;0,6139;0,5792;196;85;13;270;11;10;La France Insoumise
13_40;672;652;-20;0,6257;0,5237;333;142;21;161;10;5;Partie Socialiste
13_41;651;768;117;0,6327;0,6042;236;109;20;263;20;3;La France Insoumise
13_42;457;596;139;0,6192;0,5948;114;56;17;256;8;6;La France Insoumise
13_43;669;786;117;0,647;0,6141;271;111;23;248;13;3;Partie Socialiste
13_44;481;598;117;0,6127;0,6034;149;74;17;230;5;6;La France Insoumise
13_45;483;595;112;0,6145;0,5754;137;63;25;249;4;5;La France Insoumise
13_46;337;444;107;0,4244;0,4237;118;50;18;143;7;1;La France Insoumise
13_47;765;782;17;0,6359;0,5598;342;147;29;228;14;5;Partie Socialiste
13_48;663;709;46;0,6225;0,5631;299;113;21;216;10;4;Partie Socialiste
13_49;751;766;15;0,6311;0,5612;317;177;19;218;10;10;Partie Socialiste
13_50;746;770;24;0,6382;0,5649;348;166;16;198;11;7;Partie Socialiste
13_51;669;692;23;0,62;0,5567;296;109;33;216;10;5;Partie Socialiste
13_52;544;554;10;0,5862;0,5163;286;84;14;151;6;3;Partie Socialiste
13_53;445;553;108;0,5809;0,5978;160;72;15;189;8;1;La France Insoumise
13_54;720;759;39;0,6344;0,5785;339;141;27;194;12;7;Partie Socialiste
13_55;422;494;72;0,5619;0,5375;162;76;20;149;9;6;Partie Socialiste
13_56;658;700;42;0,6059;0,5516;287;136;18;202;8;7;Partie Socialiste
13_57;664;685;21;0,6497;0,5855;307;134;20;191;7;5;Partie Socialiste
13_58;694;684;-10;0,6667;0,5625;306;158;25;189;10;6;Partie Socialiste
13_59;682;702;20;0,6139;0,5254;302;123;26;214;13;4;Partie Socialiste
13_60;624;607;-17;0,6387;0,5179;252;139;17;201;9;6;Partie Socialiste
13_61;675;670;-5;0,621;0,5322;298;154;17;188;7;11;Partie Socialiste
13_62;647;626;-21;0,5721;0,4976;334;148;13;133;7;12;Partie Socialiste
13_63;550;492;-58;0,5777;0,4695;288;121;12;123;3;3;Partie Socialiste
13_64;522;495;-27;0,6163;0,5000;264;91;15;138;11;3;Partie Socialiste
13_65;733;704;-29;0,6048;0,5061;343;172;24;179;12;3;Partie Socialiste
13_66;701;704;3;0,5951;0,5101;316;166;21;183;10;5;Partie Socialiste
13_67;632;618;-14;0,616;0,5296;281;132;20;183;8;8;Partie Socialiste
13_68;640;713;73;0,6605;0,6147;246;128;19;237;7;3;Partie Socialiste
13_69;566;607;41;0,6345;0,5543;247;111;15;184;4;5;Partie Socialiste
13_70;422;437;15;0,6029;0,5129;177;80;12;142;5;6;Partie Socialiste
13_71;455;565;110;0,6761;0,6406;119;61;14;251;5;5;La France Insoumise
13_72;524;589;65;0,6641;0,6066;182;90;17;224;6;5;La France Insoumise
14_01;506;521;15;0,5604;0,4842;248;129;11;110;3;5;Partie Socialiste
14_02;536;566;30;0,5549;0,5058;250;124;16;136;5;5;Partie Socialiste
14_03;577;564;-13;0,5613;0,4650;317;125;14;110;9;2;Partie Socialiste
14_04;538;597;59;0,5663;0,5042;265;130;13;122;4;4;Partie Socialiste
14_05;535;532;-3;0,5626;0,4890;272;121;18;110;13;1;Partie Socialiste
14_06;527;560;33;0,5455;0,4861;265;131;7;116;6;2;Partie Socialiste
14_07;544;573;29;0,5256;0,4872;279;110;17;133;4;1;Partie Socialiste
14_08;522;530;8;0,5199;0,4553;248;120;21;116;13;4;Partie Socialiste
14_09;593;625;32;0,5579;0,5073;313;134;21;117;7;1;Partie Socialiste
14_10;462;515;53;0,552;0,5135;182;85;24;152;11;8;Partie Socialiste
14_11;495;480;-15;0,5036;0,4344;235;106;9;129;14;2;Partie Socialiste
14_12;512;520;8;0,5059;0,4429;263;92;16;129;7;5;Partie Socialiste
14_13;536;561;25;0,5333;0,4774;261;130;15;120;6;4;Partie Socialiste
14_14;539;558;19;0,5042;0,4475;282;103;27;119;6;2;Partie Socialiste
14_15;586;669;83;0,5913;0,5622;237;117;12;203;9;8;Partie Socialiste
14_16;492;560;68;0,5479;0,5147;208;95;11;165;12;1;Partie Socialiste
14_17;531;587;56;0,5572;0,5136;273;117;17;108;9;7;Partie Socialiste
14_18;595;663;68;0,5998;0,5562;260;116;27;169;14;9;Partie Socialiste
14_19;652;742;90;0,6481;0,6062;275;141;19;203;6;8;Partie Socialiste
14_20;463;555;92;0,5883;0,5757;162;78;17;194;4;8;La France Insoumise
14_21;413;546;133;0,5689;0,5821;114;48;16;220;5;10;La France Insoumise
14_22;528;650;122;0,6014;0,5974;209;103;12;195;7;2;Partie Socialiste
14_23;592;652;60;0,616;0,5869;279;113;16;177;4;3;Partie Socialiste
14_24;620;658;38;0,5962;0,5474;290;157;17;144;9;3;Partie Socialiste
14_25;593;648;55;0,586;0,5405;304;143;14;121;8;3;Partie Socialiste
14_26;426;436;10;0,5053;0,4499;224;86;14;94;5;3;Partie Socialiste
14_27;301;314;13;0,4216;0,3694;144;74;3;73;6;1;Partie Socialiste
14_28;521;490;-31;0,5019;0,4125;277;110;21;104;8;1;Partie Socialiste
14_29;649;728;79;0,5949;0,5536;316;142;8;163;14;6;Partie Socialiste
14_30;417;400;-17;0,4728;0,3788;247;83;10;71;4;2;Partie Socialiste
14_31;506;483;-23;0,5015;0,4118;281;116;8;88;6;7;Partie Socialiste
14_32;462;483;21;0,5022;0,4493;252;86;12;105;4;3;Partie Socialiste
14_33;511;497;-14;0,5044;0,4266;280;110;10;103;7;1;Partie Socialiste
14_34;523;534;11;0,5546;0,4926;243;110;16;129;18;7;Partie Socialiste
14_35;518;540;22;0,5307;0,4671;243;109;14;140;7;5;Partie Socialiste
14_36;414;491;77;0,555;0,5413;178;63;14;149;5;5;Partie Socialiste
14_37;569;628;59;0,5568;0,5286;250;105;17;183;11;3;Partie Socialiste
14_38;461;516;55;0,5858;0,5392;212;96;13;125;7;8;Partie Socialiste
14_39;538;594;56;0,5729;0,5395;233;85;20;180;10;10;Partie Socialiste
14_40;586;603;17;0,5842;0,5225;268;124;17;166;9;2;Partie Socialiste
14_41;634;642;8;0,5758;0,4886;284;117;11;212;5;5;Partie Socialiste
14_42;417;447;30;0,6;0,5144;184;77;14;132;8;2;Partie Socialiste
14_43;546;538;-8;0,5652;0,4786;291;88;14;142;7;4;Partie Socialiste
14_44;441;545;104;0,5968;0,5937;138;52;14;228;5;4;La France Insoumise
14_45;362;520;158;0,6084;0,6476;101;52;8;199;1;1;La France Insoumise
14_46;532;525;-7;0,5588;0,4866;255;140;13;113;8;3;Partie Socialiste
14_47;465;486;21;0,563;0,4959;189;80;7;173;8;8;Partie Socialiste
14_48;482;561;79;0,5724;0,5384;192;79;6;196;7;2;La France Insoumise
14_49;588;629;41;0,5584;0,5020;275;94;16;190;9;4;Partie Socialiste
14_50;524;516;-8;0,5298;0,4444;259;104;8;134;14;5;Partie Socialiste
14_51;419;487;68;0,5231;0,4974;185;46;16;159;2;11;Partie Socialiste
14_52;392;535;143;0,5312;0,5377;122;52;10;192;4;12;La France Insoumise
14_53;384;455;71;0,5246;0,4995;108;53;15;197;6;5;La France Insoumise
14_54;476;517;41;0,5478;0,4914;202;76;13;170;2;13;Partie Socialiste
14_55;536;595;59;0,5398;0,4917;227;67;18;194;15;15;Partie Socialiste
14_56;316;448;132;0,4752;0,4961;114;36;15;139;6;6;La France Insoumise
14_57;321;491;170;0,5525;0,5783;80;17;13;202;2;7;La France Insoumise
14_58;445;508;63;0,5669;0,5416;153;86;11;190;4;1;La France Insoumise
15_01;298;286;-12;0,3911;0,3136;155;60;5;68;9;1;Partie Socialiste
15_02;320;317;-3;0,3699;0,2999;150;86;0;76;4;4;Partie Socialiste
15_03;362;375;13;0,4497;0,3842;186;67;11;91;4;3;Partie Socialiste
15_04;426;393;-33;0,4092;0,3154;214;92;10;100;9;1;Partie Socialiste
15_05;430;446;16;0,4296;0,3588;179;93;10;142;4;2;Partie Socialiste
15_06;429;420;-9;0,4055;0,3209;232;94;8;85;8;2;Partie Socialiste
15_07;388;371;-17;0,4;0,3226;204;73;4;95;9;3;Partie Socialiste
15_08;418;356;-62;0,4461;0,3333;243;84;7;78;5;1;Partie Socialiste
15_09;384;370;-14;0,3988;0,3165;206;76;9;82;8;3;Partie Socialiste
15_10;352;364;12;0,3847;0,3221;163;44;14;121;5;5;Partie Socialiste
15_11;348;323;-25;0,3644;0,2754;180;64;10;83;5;6;Partie Socialiste
15_12;434;370;-64;0,3827;0,2795;230;97;13;91;3;0;Partie Socialiste
15_13;432;420;-12;0,4239;0,3371;225;96;10;92;8;1;Partie Socialiste
15_14;386;395;9;0,3635;0,3115;172;70;4;132;7;1;Partie Socialiste
15_15;274;268;-6;0,3093;0,2615;129;52;6;82;3;2;Partie Socialiste
15_16;386;368;-18;0,345;0,2714;182;71;8;119;4;2;Partie Socialiste
15_17;308;319;11;0,3192;0,2734;144;63;8;85;7;1;Partie Socialiste
15_18;309;291;-18;0,3225;0,2605;147;57;7;87;10;1;Partie Socialiste
15_19;266;234;-32;0,338;0,2513;134;53;13;64;2;0;Partie Socialiste
15_20;264;238;-26;0,3052;0,2265;137;46;10;66;4;1;Partie Socialiste
15_21;270;219;-51;0,2854;0,1924;149;59;4;56;2;0;Partie Socialiste
15_22;340;304;-36;0,3644;0,2681;183;71;4;73;9;0;Partie Socialiste
15_23;326;260;-66;0,3215;0,2226;208;43;9;65;1;0;Partie Socialiste
15_24;320;258;-62;0,3048;0,2155;181;67;7;60;3;2;Partie Socialiste
15_25;399;362;-37;0,3705;0,2967;229;75;7;79;5;4;Partie Socialiste
15_26;411;404;-7;0,4326;0,3513;181;83;9;130;7;1;Partie Socialiste
15_27;411;468;57;0,4982;0,4588;164;76;12;146;11;2;Partie Socialiste
15_28;376;343;-33;0,3992;0,3054;188;79;8;82;13;6;Partie Socialiste
15_29;398;350;-48;0,3898;0,2991;222;86;8;70;9;3;Partie Socialiste
15_30;381;359;-22;0,3754;0,3122;203;91;8;72;3;4;Partie Socialiste
15_31;371;333;-38;0,3578;0,2757;210;72;6;74;8;1;Partie Socialiste
15_32;396;357;-39;0,3736;0,2872;201;96;14;74;8;3;Partie Socialiste
15_33;433;403;-30;0,4124;0,3274;225;93;9;91;13;2;Partie Socialiste
15_34;439;435;-4;0,4225;0,3571;227;78;11;115;5;3;Partie Socialiste
15_35;453;438;-15;0,458;0,3544;235;84;15;113;6;0;Partie Socialiste
15_36;448;453;5;0,4207;0,3534;225;73;7;131;9;3;Partie Socialiste
15_37;445;408;-37;0,4402;0,3344;242;78;7;108;5;5;Partie Socialiste
15_38;450;527;77;0,4929;0,4684;171;71;16;186;4;2;La France Insoumise
15_39;383;518;135;0,5305;0,5546;101;43;11;215;8;5;La France Insoumise
15_40;393;463;70;0,4634;0,4331;151;55;18;162;3;4;La France Insoumise
15_41;475;457;-18;0,4877;0,3913;260;82;15;109;5;4;Partie Socialiste
15_42;280;273;-7;0,4389;0,3730;146;46;6;80;1;1;Partie Socialiste
15_43;380;366;-14;0,4158;0,3499;207;77;8;84;3;1;Partie Socialiste
15_44;499;517;18;0,5071;0,4503;218;101;18;152;8;2;Partie Socialiste
15_45;516;534;18;0,5212;0,4522;225;98;10;164;17;2;Partie Socialiste
15_46;386;400;14;0,4168;0,3663;211;92;6;70;5;2;Partie Socialiste
15_47;515;578;63;0,5304;0,5048;208;127;20;149;6;5;Partie Socialiste
15_48;372;535;163;0,5203;0,5459;90;34;9;226;2;11;La France Insoumise
15_49;379;540;161;0,4961;0,5133;114;38;11;200;9;7;La France Insoumise
15_50;376;425;49;0,4724;0,4409;158;65;8;135;8;2;Partie Socialiste
15_51;454;501;47;0,4531;0,4107;216;86;12;128;7;5;Partie Socialiste
15_52;410;490;80;0,5037;0,4823;144;65;17;178;1;5;La France Insoumise
15_53;442;487;45;0,4955;0,4468;218;85;10;119;6;4;Partie Socialiste
15_54;434;452;18;0,4583;0,4036;191;94;9;131;8;1;Partie Socialiste
15_55;444;481;37;0,4601;0,4063;219;89;8;120;5;3;Partie Socialiste
15_56;487;522;35;0,4534;0,4006;220;108;13;130;11;5;Partie Socialiste
15_57;418;417;-1;0,4118;0,3492;215;88;8;92;12;3;Partie Socialiste
15_58;457;451;-6;0,4678;0,3861;227;98;6;118;6;2;Partie Socialiste
15_59;332;329;-3;0,3722;0,3207;181;56;8;82;2;3;Partie Socialiste
15_60;459;457;-2;0,4211;0,3618;228;96;16;103;14;2;Partie Socialiste
15_61;421;445;24;0,4385;0,3883;218;81;7;101;8;6;Partie Socialiste
15_62;435;421;-14;0,4303;0,3651;212;102;13;99;9;0;Partie Socialiste
15_63;377;335;-42;0,4147;0,3163;205;97;8;59;5;3;Partie Socialiste
15_64;348;334;-14;0,4104;0,3249;172;84;7;79;5;1;Partie Socialiste
15_65;352;378;26;0,4069;0,3631;178;63;9;94;4;4;Partie Socialiste
15_66;383;405;22;0,4101;0,3500;167;76;7;129;3;1;Partie Socialiste
15_67;427;470;43;0,4552;0,4126;212;76;13;120;6;0;Partie Socialiste
15_68;505;467;-38;0,4558;0,3643;236;115;11;121;17;5;Partie Socialiste
15_69;490;601;111;0,5046;0,4835;184;82;13;201;7;3;La France Insoumise
15_70;437;466;29;0,4392;0,4003;243;97;10;83;3;1;Partie Socialiste
15_71;428;450;22;0,4188;0,3586;207;89;15;105;8;4;Partie Socialiste
15_72;337;393;56;0,4012;0,3797;159;59;13;93;8;5;Partie Socialiste
15_73;318;310;-8;0,3808;0,3150;157;70;6;80;3;2;Partie Socialiste
15_74;370;395;25;0,385;0,3402;169;80;4;111;5;1;Partie Socialiste
15_75;338;338;0;0,3867;0,3256;146;56;10;120;5;1;Partie Socialiste
15_76;312;421;109;0,5581;0,5791;80;33;11;176;9;3;La France Insoumise
15_77;423;457;34;0,479;0,4336;206;60;12;139;5;1;Partie Socialiste
15_78;317;371;54;0,5154;0,4720;116;46;2;145;6;2;La France Insoumise
15_79;344;371;27;0,4485;0,3926;155;60;7;109;7;6;Partie Socialiste
15_80;431;480;49;0,4654;0,4305;170;69;11;165;11;5;Partie Socialiste
15_81;392;373;-19;0,4135;0,3397;200;66;10;109;5;2;Partie Socialiste
15_82;365;437;72;0,454;0,4284;154;39;11;146;6;9;Partie Socialiste
15_83;365;331;-34;0,3759;0,2873;188;61;9;98;9;0;Partie Socialiste
15_84;354;369;15;0,4179;0,3429;188;57;4;97;6;2;Partie Socialiste
15_85;526;561;35;0,4953;0,4253;227;96;9;178;6;10;Partie Socialiste
15_86;331;354;23;0,4117;0,3672;148;69;9;96;6;3;Partie Socialiste
15_87;385;399;14;0,4226;0,3677;173;79;8;112;6;7;Partie Socialiste
15_88;360;354;-6;0,3793;0,3201;185;61;7;100;5;2;Partie Socialiste
15_89;356;318;-38;0,3763;0,2896;188;82;12;63;6;5;Partie Socialiste
15_90;334;336;2;0,3774;0,3194;178;70;14;60;10;2;Partie Socialiste
15_91;359;350;-9;0,3604;0,3057;188;60;12;91;5;3;Partie Socialiste
15_92;387;411;24;0,4193;0,3713;177;78;9;110;8;5;Partie Socialiste
15_93;419;434;15;0,4535;0,3851;188;81;11;133;4;2;Partie Socialiste
15_94;392;446;54;0,4968;0,4407;146;53;10;164;14;5;La France Insoumise
15_95;328;379;51;0,4194;0,3891;154;44;10;106;9;5;Partie Socialiste
16_01;128;100;-28;0,1329;0,0867;67;38;0;21;2;0;Partie Socialiste
16_02;150;110;-40;0,1471;0,0922;79;23;3;45;0;0;Partie Socialiste
16_03;135;87;-48;0,159;0,0836;57;31;4;37;4;2;Partie Socialiste
16_04;138;82;-56;0,1329;0,0637;70;25;3;34;6;0;Partie Socialiste
16_05;120;90;-30;0,1813;0,1082;63;26;2;27;2;0;Partie Socialiste
16_06;136;86;-50;0,1563;0,0869;79;21;7;26;3;0;Partie Socialiste
16_07;140;110;-30;0,1589;0,1015;65;25;1;47;2;0;Partie Socialiste
16_08;127;79;-48;0,1539;0,0823;65;33;0;27;1;1;Partie Socialiste
16_09;139;98;-41;0,174;0,1046;78;25;2;33;1;0;Partie Socialiste
16_10;164;122;-42;0,182;0,1172;75;28;7;51;2;1;Partie Socialiste
16_11;149;85;-64;0,1776;0,0857;74;31;2;37;4;1;Partie Socialiste
16_12;168;106;-62;0,1922;0,1036;92;41;6;29;0;0;Partie Socialiste
16_13;206;144;-62;0,2203;0,1321;123;37;2;40;3;1;Partie Socialiste
16_14;158;96;-62;0,1997;0,1012;95;28;3;29;3;0;Partie Socialiste
16_15;172;97;-75;0,1797;0,0892;84;43;2;41;2;0;Partie Socialiste
16_16;199;120;-79;0,2182;0,1133;123;32;5;33;5;1;Partie Socialiste
16_17;130;90;-40;0,1416;0,0840;63;33;2;29;2;1;Partie Socialiste
16_18;163;92;-71;0,1719;0,0846;92;33;1;33;3;1;Partie Socialiste
16_19;170;127;-43;0,1984;0,1269;96;29;2;41;0;2;Partie Socialiste
16_20;171;103;-68;0,1759;0,0904;107;23;3;34;2;2;Partie Socialiste
16_21;254;216;-38;0,2579;0,1859;126;50;3;68;6;1;Partie Socialiste
16_22;210;155;-55;0,2023;0,1253;102;47;3;52;4;2;Partie Socialiste
16_23;178;118;-60;0,1839;0,1081;87;32;2;51;5;1;Partie Socialiste
16_24;209;172;-37;0,213;0,1436;97;40;6;62;3;1;Partie Socialiste
16_25;212;166;-46;0,2314;0,1547;123;24;9;51;3;2;Partie Socialiste
16_26;171;118;-53;0,1779;0,1009;82;37;4;44;2;2;Partie Socialiste
16_27;167;97;-70;0,1782;0,0902;97;33;1;33;3;0;Partie Socialiste
16_28;177;118;-59;0,2087;0,1200;92;42;2;39;2;0;Partie Socialiste
16_29;182;103;-79;0,2111;0,1037;112;35;4;26;4;1;Partie Socialiste
16_30;226;186;-40;0,2684;0,1813;113;37;4;70;2;0;Partie Socialiste
16_31;177;114;-63;0,2;0,1075;98;35;6;37;1;0;Partie Socialiste
16_32;269;228;-41;0,2927;0,2041;132;46;5;80;4;2;Partie Socialiste
16_33;241;190;-51;0,2482;0,1639;122;53;4;56;6;0;Partie Socialiste
16_34;185;114;-71;0,1949;0,1011;115;20;3;41;6;0;Partie Socialiste
16_35;142;89;-53;0,1804;0,0958;87;28;0;21;5;1;Partie Socialiste
16_36;264;213;-51;0,301;0,2060;115;46;6;89;3;5;Partie Socialiste
16_37;184;118;-66;0,2065;0,1117;115;35;3;28;3;0;Partie Socialiste
16_38;251;194;-57;0,2468;0,1611;148;53;7;41;2;0;Partie Socialiste
16_39;261;193;-68;0,2816;0,1766;133;45;5;72;5;1;Partie Socialiste
16_40;251;262;11;0,3438;0,2790;111;35;4;100;0;1;Partie Socialiste
16_41;304;236;-68;0,3319;0,2189;158;54;6;80;6;0;Partie Socialiste
16_42;165;133;-32;0,2367;0,1556;87;38;4;29;5;2;Partie Socialiste
16_43;226;192;-34;0,2787;0,1983;96;39;13;67;8;3;Partie Socialiste
16_44;237;299;62;0,3703;0,3673;85;18;9;120;2;3;La France Insoumise
16_45;225;239;14;0,2941;0,2567;95;33;6;82;8;1;Partie Socialiste
16_46;248;312;64;0,4168;0,3939;86;27;5;128;1;1;La France Insoumise
16_47;295;297;2;0,3387;0,2647;139;45;10;94;4;3;Partie Socialiste
16_48;216;162;-54;0,2477;0,1564;111;37;4;57;6;1;Partie Socialiste
16_49;254;223;-31;0,2488;0,1832;126;39;4;78;4;3;Partie Socialiste
16_50;269;169;-100;0,2543;0,1361;151;42;5;65;4;2;Partie Socialiste
16_51;197;198;1;0,1928;0,1531;74;52;4;66;1;0;Partie Socialiste
16_52;214;168;-46;0,225;0,1475;96;31;5;81;1;0;Partie Socialiste
16_53;146;128;-18;0,171;0,1246;64;34;2;41;5;0;Partie Socialiste
16_54;149;94;-55;0,1819;0,0956;82;23;2;40;2;0;Partie Socialiste
16_55;175;153;-22;0,1657;0,1252;77;38;3;55;2;0;Partie Socialiste
16_56;104;81;-23;0,1225;0,0771;54;19;0;29;1;1;Partie Socialiste
16_57;170;154;-16;0,1868;0,1414;70;22;3;66;5;4;Partie Socialiste
16_58;124;103;-21;0,1378;0,0930;55;18;4;44;3;0;Partie Socialiste
16_59;133;70;-63;0,138;0,0626;79;19;1;29;4;1;Partie Socialiste
16_60;130;104;-26;0,1448;0,0947;70;21;2;37;0;0;Partie Socialiste
16_61;146;136;-10;0,1726;0,1333;67;32;4;41;1;1;Partie Socialiste
16_62;185;146;-39;0,2134;0,1366;88;28;2;61;3;3;Partie Socialiste
16_63;171;131;-40;0,1908;0,1245;95;29;1;39;6;1;Partie Socialiste
16_64;146;128;-18;0,2116;0,1475;60;26;3;52;5;0;Partie Socialiste
16_65;166;128;-38;0,2156;0,1326;89;28;1;46;1;1;Partie Socialiste
16_66;152;117;-35;0,2153;0,1418;82;17;4;46;3;0;Partie Socialiste
16_67;134;93;-41;0,1803;0,1018;73;25;3;32;1;0;Partie Socialiste
16_68;162;160;-2;0,2149;0,1719;72;32;4;52;0;2;Partie Socialiste
17_01;413;412;-1;0,4389;0,3624;224;92;10;75;7;5;Partie Socialiste
17_02;417;392;-25;0,4469;0,3427;230;107;7;67;4;2;Partie Socialiste
17_03;503;470;-33;0,5148;0,4027;254;127;10;103;6;3;Partie Socialiste
17_04;507;545;38;0,5405;0,4584;271;97;12;120;7;0;Partie Socialiste
17_05;454;405;-49;0,4676;0,3426;249;100;7;88;6;4;Partie Socialiste
17_06;353;349;-4;0,3935;0,3176;190;90;3;66;4;0;Partie Socialiste
17_07;457;426;-31;0,4726;0,3760;253;99;8;89;7;1;Partie Socialiste
17_08;477;407;-70;0,4667;0,3304;267;129;7;71;2;1;Partie Socialiste
17_09;516;492;-24;0,4896;0,3736;282;115;10;101;3;5;Partie Socialiste
17_10;377;367;-10;0,4265;0,3286;212;76;9;72;7;1;Partie Socialiste
17_11;389;364;-25;0,4112;0,3165;200;99;3;80;6;1;Partie Socialiste
17_12;380;339;-41;0,4051;0,2892;219;78;6;74;1;2;Partie Socialiste
17_13;428;409;-19;0,4408;0,3361;222;89;9;96;8;4;Partie Socialiste
17_14;386;362;-24;0,3822;0,2972;193;85;8;93;5;2;Partie Socialiste
17_15;308;320;12;0,354;0,2985;138;45;7;114;1;3;Partie Socialiste
17_16;358;516;158;0,5107;0,5466;80;32;22;217;2;5;La France Insoumise
17_17;429;501;72;0,5309;0,4785;129;38;15;240;2;5;La France Insoumise
17_18;449;572;123;0,5564;0,5417;134;93;13;194;11;4;La France Insoumise
17_19;330;456;126;0,6445;0,6290;79;36;5;201;6;3;La France Insoumise
17_20;335;468;133;0,5556;0,5721;76;32;9;205;2;11;La France Insoumise
17_21;502;545;43;0,5529;0,4849;240;93;10;146;4;9;Partie Socialiste
17_22;404;445;41;0,5864;0,5407;188;80;11;120;2;3;Partie Socialiste
17_23;365;566;201;0,6326;0,6551;65;32;9;249;6;4;La France Insoumise
17_24;426;465;39;0,5908;0,5213;192;75;12;141;3;3;Partie Socialiste
17_25;406;477;71;0,6404;0,5911;115;60;6;213;7;5;La France Insoumise
17_26;561;614;53;0,6078;0,5257;257;122;7;163;9;3;Partie Socialiste
17_27;385;523;138;0,5695;0,5691;130;51;13;181;2;8;La France Insoumise
17_28;476;505;29;0,4995;0,4240;231;119;13;103;7;3;Partie Socialiste
17_29;615;637;22;0,6006;0,5145;305;127;13;160;7;3;Partie Socialiste
17_30;470;488;18;0,586;0,5000;218;107;11;119;12;3;Partie Socialiste
17_31;556;563;7;0,5804;0,4866;252;125;18;157;4;0;Partie Socialiste
17_32;460;445;-15;0,583;0,4597;229;99;11;115;1;5;Partie Socialiste
17_33;608;627;19;0,5829;0,4976;305;123;20;149;9;2;Partie Socialiste
17_34;565;556;-9;0,6036;0,4973;264;147;12;128;10;4;Partie Socialiste
17_35;523;541;18;0,5173;0,4314;265;132;8;108;5;5;Partie Socialiste
17_36;389;571;182;0,5336;0,5593;106;28;13;233;3;6;La France Insoumise
17_37;205;161;-44;0,2207;0,1452;122;44;1;36;1;1;Partie Socialiste
17_38;334;374;40;0,4134;0,3759;123;33;14;153;6;5;La France Insoumise
17_39;318;458;140;0,484;0,5066;85;13;15;196;3;6;La France Insoumise
17_40;270;274;4;0,2744;0,2416;117;34;10;97;7;5;Partie Socialiste
17_41;185;157;-28;0,1854;0,1293;94;46;5;36;3;1;Partie Socialiste
17_42;200;167;-33;0,2026;0,1418;123;32;3;38;3;1;Partie Socialiste
17_43;202;151;-51;0,2034;0,1285;117;46;2;34;3;0;Partie Socialiste
17_44;243;204;-39;0,2413;0,1669;138;54;5;44;2;0;Partie Socialiste
17_45;313;257;-56;0,309;0,1991;168;76;4;57;6;2;Partie Socialiste
17_46;361;324;-37;0,3557;0,2689;189;69;6;93;3;1;Partie Socialiste
17_47;220;178;-42;0,2207;0,1544;121;49;3;38;7;2;Partie Socialiste
17_48;236;173;-63;0,2532;0,1546;134;55;6;39;2;0;Partie Socialiste
17_49;242;194;-48;0,2523;0,1671;137;51;7;45;2;0;Partie Socialiste
